model,product,feature,importance_mean,importance_std,method
HGB|class_weight,RG3,Mold_Temperature_4,0.0104371121768085,0.0221891560894692,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Mold_Temperature_3,0.0063891772152191,0.0117138637212579,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Barrel_Temperature_4,0.0047081114104762,0.0367981530762376,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Barrel_Temperature_5,0.004417073371109,0.0338218267584961,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Clamp_Close_Time,0.0027214165979847,0.0074706744609399,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Hopper_Temperature,0.0026123021201329,0.0268563011225575,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Max_Injection_Speed,0.0009266027245264,0.028047354116964,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Barrel_Temperature_6,0.0008688282857263,0.0163645133038217,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Cycle_Time,0.0005430176561914,0.014387192687205,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Average_Back_Pressure,0.0004254700495376,0.0212663838788375,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Max_Screw_RPM,5.386318067973799e-05,0.0073125950206757,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Clamp_Open_Position,0.0,0.0,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Injection_Time,0.0,0.0,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Filling_Time,-0.0002185600646231,0.0014730873090574,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Average_Screw_RPM,-0.001474498300655,0.0051274962357634,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Plasticizing_Time,-0.0029350031209097,0.0242659523129678,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Max_Back_Pressure,-0.0031937727923276,0.0144168414630037,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Cushion_Position,-0.0035841406627009,0.0135837938919181,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Barrel_Temperature_3,-0.003713261664939,0.03363789763548,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Plasticizing_Position,-0.0053744601312861,0.0214769264076409,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Max_Injection_Pressure,-0.0062584527385991,0.0163117729006584,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Max_Switch_Over_Pressure,-0.0066996362923798,0.024233344908201,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Barrel_Temperature_2,-0.0102970270414101,0.038281007065317,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
HGB|class_weight,RG3,Barrel_Temperature_1,-0.0169969395769808,0.0395589572687807,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Max_Screw_RPM,0.0005033788171282,0.0042382076286786,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Barrel_Temperature_3,0.0003951182615439,0.0044340611235187,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Plasticizing_Position,3.123005909006181e-05,0.0066364958488134,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Clamp_Open_Position,0.0,0.0,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Injection_Time,-0.0003330926760464,0.0016649898587236,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Barrel_Temperature_2,-0.0006709019580089,0.0034219691632797,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Clamp_Close_Time,-0.0007930437336842,0.0048943758716941,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Hopper_Temperature,-0.000887834272667,0.0034408061692799,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Plasticizing_Time,-0.0015942643257454,0.0104799628869185,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Barrel_Temperature_4,-0.0017321104218795,0.0052043877683137,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Barrel_Temperature_6,-0.0020390399230133,0.0048052987236658,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Max_Injection_Speed,-0.0020664808571324,0.006944457690838,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Barrel_Temperature_1,-0.0023798636632913,0.005621021966462,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Cycle_Time,-0.0026878779046414,0.0106102304896682,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Barrel_Temperature_5,-0.0027305397235069,0.0189793582146895,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Mold_Temperature_3,-0.003624121980209,0.0093040872064868,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Filling_Time,-0.003818960211138,0.0072053806498985,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Max_Switch_Over_Pressure,-0.0040014548602131,0.0131346494393261,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Cushion_Position,-0.0047095351307613,0.0095496908823039,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Max_Injection_Pressure,-0.0047919189409651,0.0120577190978346,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Average_Screw_RPM,-0.0086867052144556,0.0177937068415549,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
LogReg|class_weight,RG3,Max_Back_Pressure,-0.0094657847852873,0.024715837207947,"permutation_importance(PR-AUC 감소, test fold, 5-fold×10 평균)"
