model,product,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,prauc_mean,prauc_std,threshold
LogReg|class_weight|thr=F1max,RG3,0.0656550363755551,0.0338133857541342,0.696,0.3943271199791113,0.0346922301197638,0.0180306186324897,0.0493524388663531,0.0139326626610192,0.2433289908430309
LogReg|class_weight|thr=Recall80,RG3,0.077219974876546,0.0124691494609351,0.904,0.1862190941348608,0.0403446847894631,0.0064217280968752,0.0493524388663531,0.0139326626610192,0.0709198320797101
LogReg|ROS|thr=F1max,RG3,0.0587467507258698,0.0362593715938714,0.64,0.4276179870598789,0.031121989049411,0.0195300074086501,0.0488201446508072,0.013156496066893,0.2607918739606712
LogReg|ROS|thr=Recall80,RG3,0.0775967225496722,0.0123767670752635,0.9200000000000002,0.1807015805810502,0.0405167933742039,0.0063809784013057,0.0488201446508072,0.013156496066893,0.0528580562662576
LogReg|SMOTE|thr=F1max,RG3,0.0614002338964809,0.03604992072899,0.664,0.4265476024347777,0.0325628449414563,0.019399137693221,0.0505205349961128,0.0172499111269657,0.2562221999822359
LogReg|SMOTE|thr=Recall80,RG3,0.0759411204417159,0.0128398999342232,0.8960000000000001,0.1862190941348608,0.0396616835678686,0.0066375734880687,0.0505205349961128,0.0172499111269657,0.0426973436686349
RF|class_weight|thr=F1max,RG3,0.0582500292195168,0.0582876592231062,0.3919999999999999,0.3978718899549534,0.0337438487177468,0.0403665185366395,0.0778546359572995,0.0551184601699875,0.1361333333333333
RF|class_weight|thr=Recall80,RG3,0.0768463561971635,0.02261892189266,0.76,0.2555506259999759,0.0405086133781132,0.0118864934426311,0.0778546359572995,0.0551184601699875,0.0344
RF|ROS|thr=F1max,RG3,0.0602675114151755,0.0591007322357287,0.36,0.383325938999964,0.035684033654999,0.0380863005059267,0.0742300281875469,0.03590404741463,0.1115999999999999
RF|ROS|thr=Recall80,RG3,0.0792246696597735,0.0210539515986024,0.7919999999999999,0.2456478315451963,0.0417311841987533,0.011040601340608,0.0742300281875469,0.03590404741463,0.0168666666666666
RF|SMOTE|thr=F1max,RG3,0.0597135360984207,0.0574361794494032,0.2719999999999999,0.3123577227135188,0.039602704253891,0.045147308939433,0.0840650529337136,0.0530469785836684,0.1981333333333333
RF|SMOTE|thr=Recall80,RG3,0.0795974454835786,0.0197960910971202,0.816,0.209333246674448,0.041869457589892,0.0104850409661812,0.0840650529337136,0.0530469785836684,0.0360666666666666
HGB|class_weight|thr=F1max,RG3,0.0649413292164247,0.0380835380504535,0.424,0.3443775811044425,0.0370018269680031,0.0231562417763039,0.0767299268450918,0.0512455235431706,0.1695413059675828
HGB|class_weight|thr=Recall80,RG3,0.0770576353959565,0.0159585159641813,0.8560000000000001,0.2101117292668598,0.04036411423931,0.0083108985900256,0.0767299268450918,0.0512455235431706,0.0044793352004607
HGB|ROS|thr=F1max,RG3,0.0673804446604653,0.0458476732695342,0.4319999999999999,0.3484308850154547,0.0379737774203191,0.0270312122970859,0.0786387190429802,0.0497081917315162,0.143565371466441
HGB|ROS|thr=Recall80,RG3,0.0792423586789297,0.0142575568139185,0.8799999999999999,0.1895214165917371,0.0415129655397208,0.0074442601460859,0.0786387190429802,0.0497081917315162,0.0037325269559271
HGB|SMOTE|thr=F1max,RG3,0.0496810899765034,0.0441191408332323,0.416,0.4117459093634702,0.0269842244064151,0.0242608314702631,0.073348173799,0.0442119355113026,0.1501935830623966
HGB|SMOTE|thr=Recall80,RG3,0.0782770898723094,0.0120992869231127,0.8599999999999999,0.1772810520855836,0.0410231752193871,0.0062570780170688,0.073348173799,0.0442119355113026,0.0042297500526275
SoftVote(LogReg+RF+HGB)|class_weight|thr=F1max,RG3,0.0606588618505474,0.0381396540458215,0.5720000000000001,0.4081016279990931,0.0323633418032734,0.0205374274204884,0.0656192684281546,0.0441854388839963,0.1816757702548428
SoftVote(LogReg+RF+HGB)|class_weight|thr=Recall80,RG3,0.0765604033481141,0.0120330241161834,0.8640000000000001,0.1956256316414135,0.0400840622785707,0.0061854100001454,0.0656192684281546,0.0441854388839963,0.0573597508973971
SoftVote(LogReg+RF+HGB)|class_weight|thr=Cost5,RG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0656192684281546,0.0441854388839963,0.9350098268866588
SoftVote(LogReg+RF+HGB)|class_weight|thr=Cost10,RG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0656192684281546,0.0441854388839963,0.8397000506560505
SoftVote(LogReg+RF+HGB)|class_weight|thr=Cost20,RG3,0.0339917805558767,0.0398620798844015,0.256,0.3283601805384832,0.0184396188357723,0.0216211916335698,0.0656192684281546,0.0441854388839963,0.457191582530658
SelfTrain+SoftVote|class_weight|thr=F1max,RG3,0.0589036998371268,0.0396165786796749,0.5519999999999999,0.4111904072572804,0.0325579355002995,0.0254391879587396,0.0644517965279952,0.0424504170588729,0.1690937480290291
SelfTrain+SoftVote|class_weight|thr=Recall80,RG3,0.074789313331891,0.0157218688585521,0.828,0.2213502165513892,0.0391956696723748,0.008140402615265,0.0644517965279952,0.0424504170588729,0.0523340537663425
SelfTrain+SoftVote|class_weight|thr=Cost5,RG3,0.0,0.0,0.0,0.0,0.0,0.0,0.0644517965279952,0.0424504170588729,0.9388177661724666
SelfTrain+SoftVote|class_weight|thr=Cost10,RG3,0.0021052631578947,0.0148864585512957,0.004,0.0282842712474619,0.0014285714285714,0.0101015254455221,0.0644517965279952,0.0424504170588729,0.8180444137143711
SelfTrain+SoftVote|class_weight|thr=Cost20,RG3,0.0270687973369443,0.0417504030851032,0.1679999999999999,0.2691179848986655,0.0161050432184944,0.0277481800142535,0.0644517965279952,0.0424504170588729,0.4993402113217723
IsolationForest|normal_only|thr=F1max,RG3,0.0422966832525103,0.0396427332162126,0.44,0.4407785320154718,0.0230180759240738,0.022821838399929,0.0691243732574862,0.0479790757251045,0.5206708485064675
IsolationForest|normal_only|thr=Recall80,RG3,0.0708029026367247,0.0169767026457426,0.764,0.2087474795155181,0.0371282188546912,0.0088449968969873,0.0691243732574862,0.0479790757251045,0.3388198368305329
Mahalanobis|normal_only|thr=F1max,RG3,0.0520841945346604,0.0386083864790954,0.3639999999999999,0.3783746119109678,0.0292650095095436,0.0220662025987567,0.0574313864002271,0.0227726066755314,0.5642737989511203
Mahalanobis|normal_only|thr=Recall80,RG3,0.0753516444087401,0.0182246320173106,0.7559999999999999,0.2110807950544443,0.0396623576738562,0.0095295619195019,0.0574313864002271,0.0227726066755314,0.3702175519473497
OneClassSVM|normal_only|thr=F1max,RG3,0.0500908655631602,0.0369359431976808,0.4319999999999999,0.4244756669548146,0.0279298720573302,0.0211904263529646,0.0558075995250006,0.0217534434632718,0.4623461569416054
OneClassSVM|normal_only|thr=Recall80,RG3,0.0718722991593233,0.0159014715098596,0.772,0.1979898987322333,0.037698763800907,0.0082894213153759,0.0558075995250006,0.0217534434632718,0.2970499405508896
LOF|normal_only|thr=F1max,RG3,0.0623817512767264,0.0243959765681953,0.632,0.3644621421509023,0.0332609370682322,0.0130613013674129,0.0490377626285621,0.0155588708262527,0.4112259827529103
LOF|normal_only|thr=Recall80,RG3,0.0731275246332394,0.0165092966846588,0.7919999999999999,0.1977836377128775,0.0383429023306033,0.0086258996777731,0.0490377626285621,0.0155588708262527,0.3747866590281521
NestedSearch(best-of-candidates)|class_weight|thr=F1max,RG3,0.029879982384165654,0.043239198764878174,0.14,0.2147613768338987,0.01753182760397285,0.026079082238418295,0.059990809113131795,0.04225951661474029,0.304612879753422
NestedSearch(best-of-candidates)|class_weight|thr=Recall80,RG3,0.07333482941162961,0.021878967829217277,0.772,0.2555825678319862,0.03853759011085967,0.011511227832311517,0.059990809113131795,0.04225951661474029,0.07630548297775065
