dataset,feature,n,missing,mean,std,min,q25,median,q75,max,nunique,top_value_ratio,constant,quasi_constant(top>=0.95)
labeled,Injection_Time,1182,0,-4.715310676228618e-14,1.0004232804422357,-8.627730385041827,-0.0290994490538664,-0.0290994490538664,-0.0290994490538664,8.569633990700348,3,0.9864636209813875,False,True
labeled,Filling_Time,1182,0,-1.923635156034112e-16,1.0004232804422357,-1.1925314031676415,-1.1925314031676415,0.8385523411322893,0.8385523411322893,0.8385523411322893,2,0.5871404399323181,False,False
labeled,Plasticizing_Time,1182,0,-1.7601261677712126e-14,1.0004232804422357,-2.7362312346710054,-0.7159559050853255,-0.0425379310805704,0.6308800429241845,3.773532934232066,27,0.10490693739424704,False,False
labeled,Cycle_Time,1182,0,5.502648534233517e-14,1.0004232804422357,-1.3950399372025626,-0.2987077097782125,0.2495106849176261,0.2495106849176261,11.761887849595585,10,0.6277495769881557,False,False
labeled,Clamp_Close_Time,1182,0,4.97259687834818e-14,1.0004232804422357,-1.8067254988278127,-0.3867898224103817,-0.3867898224103817,1.033078147747445,1.033078147747445,3,0.42978003384094754,False,False
labeled,Cushion_Position,1182,0,2.788886249218256e-12,1.0004232804422357,-1.9118180435387704,-1.1144367268032296,-0.3170554100676889,0.4803259066678516,2.8676077756748666,7,0.2825719120135364,False,False
labeled,Plasticizing_Position,1182,0,1.813266588956655e-13,1.0004232804422357,-2.537408527602385,-0.974520563532816,-0.1929275362983298,0.5883674005367534,2.932550301441406,8,0.30287648054145516,False,False
labeled,Clamp_Open_Position,1182,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,True,True
labeled,Max_Injection_Speed,1182,0,-2.7556073610188658e-14,1.0004232804422357,-2.5222910205480336,-0.95229298916076,-0.1673838074189474,0.6176451529252976,2.187583295011355,7,0.2707275803722504,False,False
labeled,Max_Screw_RPM,1182,0,-1.2069307764148403e-14,1.000423280442236,-2.0085875478583746,-0.6657520460385278,-0.6657520460385278,0.6771090687267264,2.0199701834919805,4,0.428087986463621,False,False
labeled,Average_Screw_RPM,1182,0,-8.43273561526454e-14,1.0004232804422357,-1.9605785402082003,-0.4217977735906751,-0.4217977735906751,1.1169829930268504,2.655763759644376,4,0.583756345177665,False,False
labeled,Max_Injection_Pressure,1182,0,-7.252104538248602e-14,1.000423280442236,-3.3907009774255954,-0.7652217551830952,-0.1088018718162931,0.547517855938155,2.516677350426207,10,0.2521150592216582,False,False
labeled,Max_Switch_Over_Pressure,1182,0,-1.1613947254555952e-14,1.0004232804422357,-13.791078364457531,-0.3444868196010868,0.0757286837402434,0.4959281574991461,1.5464428714788303,17,0.1404399323181049,False,False
labeled,Max_Back_Pressure,1182,0,6.5884504094168345e-15,1.0004232804422357,-2.574681985283334,-0.7080273944801929,-0.0858052415789946,0.8475220538225758,2.091966359624972,16,0.10998307952622674,False,False
labeled,Average_Back_Pressure,1182,0,8.127358534244124e-15,1.0004232804422357,-2.4693754581561533,-0.8418766918713266,0.0881251371927895,0.7856220744135003,2.1806159488549217,21,0.09137055837563451,False,False
labeled,Barrel_Temperature_1,1182,0,-4.462307568011162e-14,1.0004232804422357,-3.166663722868448,-0.6026229124749184,0.0966286110697729,0.5628437163914318,2.660669421463303,25,0.10998307952622674,False,False
labeled,Barrel_Temperature_2,1182,0,4.473654009751832e-14,1.0004232804422357,-2.1926292561524083,-0.7385359164975585,-0.0114522675403928,0.7155574231572918,3.1390216698288818,22,0.09644670050761421,False,False
labeled,Barrel_Temperature_3,1182,0,2.130275651311214e-14,1.0004232804422357,-2.46051520821568,-0.6167366847818262,-0.0020813214763596,0.3052463601763737,2.4563525652629603,17,0.2521150592216582,False,False
labeled,Barrel_Temperature_4,1182,0,4.0687889230052776e-14,1.0004232804422357,-2.2922160097708995,-0.975954860097688,0.0477492627171246,0.925241818790806,2.095202139472129,30,0.07106598984771574,False,False
labeled,Barrel_Temperature_5,1182,0,-7.989698393390433e-14,1.0004232804422357,-4.419377469565401,-0.6577508990084993,-0.030765304963843,0.5962202890808133,4.357846859637714,21,0.18274111675126903,False,False
labeled,Barrel_Temperature_6,1182,0,-2.1749099982910682e-14,1.0004232804422357,-2.8399751984855137,-0.8512966597545222,0.1430046794462067,0.6401932792113381,2.628795957612796,12,0.19120135363790186,False,False
labeled,Hopper_Temperature,1182,0,-6.396086893813423e-15,1.000423280442236,-3.070513591715157,-0.5285282383560259,0.0815466949454333,0.7933072484001868,2.115134977632738,52,0.09644670050761421,False,False
labeled,Mold_Temperature_3,1182,0,-3.847270312068224e-16,1.0004232804422357,-1.963415139074561,-0.8235546449399185,0.1738253256592329,0.9930992065554493,1.598652302148429,26,0.11336717428087986,False,False
labeled,Mold_Temperature_4,1182,0,4.80908789008528e-17,1.0004232804422357,-2.0616090995758087,-0.8476893432760432,0.00205309691288,1.0945827298772188,1.822932731362528,29,0.1218274111675127,False,False
unlabeled,Injection_Time,35941,0,1.391786778261903e-16,1.0000139119789104,-1.1507292251831465,-0.8278799082400896,-0.8243706765341868,0.5582666155915131,2.8006656756633976,91,0.28468879552600096,False,False
unlabeled,Filling_Time,35941,0,2.0244171320173135e-16,1.00001391197891,-1.3076320604684035,-0.84721380943355,-0.8422630755514549,1.1677348805791967,1.662808268788717,97,0.28460532539439637,False,False
unlabeled,Plasticizing_Time,35941,0,2.5305214150216418e-17,1.0000139119789102,-1.5341627239294433,-1.1313519385475428,0.4702237441308942,0.5056710932445015,4.638509751262802,470,0.20260983278150302,False,False
unlabeled,Cycle_Time,35941,0,1.2652607075108208e-16,1.0000139119789102,-4.267866817652327,-1.2059725849807994,0.6067003666806702,0.7526927463312452,1.744651779957047,371,0.1358615508750452,False,False
unlabeled,Clamp_Close_Time,35941,0,-5.567147113047612e-16,1.00001391197891,-1.6342007151202067,-1.2629024000991838,0.779238332516443,0.8039915535178446,5.977414742810765,88,0.13104810661918143,False,False
unlabeled,Cushion_Position,35941,0,-1.518312849012985e-16,1.00001391197891,-1.3762159788928572,-1.315176282683519,0.7593573497146066,0.7594552743609315,0.7623277306531357,68,0.13555549372582845,False,False
unlabeled,Plasticizing_Position,35941,0,7.591564245064925e-17,1.0000139119789102,-1.9378933654413613,-1.026514029929385,0.5132709173411987,0.6407365586715451,3.085527559387589,207,0.22470159427951364,False,False
unlabeled,Clamp_Open_Position,35941,0,5.0610428300432836e-17,1.0000139119789102,-0.8177855210322926,-0.8068068250080022,-0.7984580067385798,1.236023773245612,1.9164107181121883,53,0.26774435881027236,False,False
unlabeled,Max_Injection_Speed,35941,0,0.0,1.0000139119789102,-2.1310249750086427,-1.1694135021533267,0.9052632505320176,0.9341115947176772,0.9653639675854752,179,0.058317798614395816,False,False
unlabeled,Max_Screw_RPM,35941,0,-1.0122085660086567e-16,1.0000139119789102,-1.1791454382343742,-1.1791454382343742,0.5111912604092638,0.516679366573691,2.2728733391904576,28,0.3660999972176623,False,False
unlabeled,Average_Screw_RPM,35941,0,1.0122085660086567e-16,1.00001391197891,-1.297009448996887,-1.297009448996887,0.7200540965588674,0.7221378398910532,1.2958618373528483,83,0.3660999972176623,False,False
unlabeled,Max_Injection_Pressure,35941,0,1.771364990515149e-16,1.0000139119789102,-3.555191585760097,-1.2338894944227814,0.4862327492199875,0.546638379849583,1.8209095402739088,236,0.05539634400823572,False,False
unlabeled,Max_Switch_Over_Pressure,35941,0,-3.2896778395281343e-16,1.00001391197891,-0.5632183469898971,-0.5444313341366063,0.2408658031309535,0.3197712571147751,121.2517729937483,303,0.05367129462174119,False,False
unlabeled,Max_Back_Pressure,35941,0,5.0610428300432836e-17,1.0000139119789102,-1.381248004442557,-1.1653353508599271,0.8318566947793988,0.9439651879857645,2.5550057570253872,233,0.10166662029437133,False,False
unlabeled,Average_Back_Pressure,35941,0,-1.518312849012985e-16,1.0000139119789102,-1.1542676151081206,-1.1542676151081206,0.612957561992377,0.6886093247107203,2.9611882767697506,208,0.3660999972176623,False,False
unlabeled,Barrel_Temperature_1,35941,0,-1.0122085660086567e-16,1.0000139119789102,-1.310547468126909,-1.310547468126909,0.8049587274488678,0.8116369301006325,0.8235092903704372,78,0.36598870370885617,False,False
unlabeled,Barrel_Temperature_2,35941,0,3.6692560517813804e-16,1.00001391197891,-2.265639577064478,-0.6746798158661189,0.8467719946002707,0.8931106284215838,1.0166803186117448,93,0.13166022091761498,False,False
unlabeled,Barrel_Temperature_3,35941,0,-3.2896778395281343e-16,1.0000139119789102,-3.3004130717132147,-0.4035765130448654,0.7911639885528123,0.8402629132760066,0.9220944544813272,91,0.14724131215046882,False,False
unlabeled,Barrel_Temperature_4,35941,0,-7.047502140835272e-15,1.0000139119789102,-3.0886497733106646,0.0677432851135314,0.5406881733464691,0.6332208688703089,0.9211003660555788,144,0.09451601235357948,False,False
unlabeled,Barrel_Temperature_5,35941,0,-4.428412476287873e-16,1.0000139119789102,-3.0559408370324515,0.029690835989694,0.5763578646747197,0.6613949580257223,0.8922099256927304,106,0.09262402270387579,False,False
unlabeled,Barrel_Temperature_6,35941,0,1.0628189943090896e-15,1.00001391197891,-3.3015240190590154,-0.1468691520772543,-0.0850131742933018,0.9046824702499974,1.1314877221245017,89,0.11646865696558248,False,False
unlabeled,Hopper_Temperature,35941,0,-3.163151768777052e-16,1.0000139119789102,-2.4788115901594145,-0.0128168338486037,0.3480604475627347,0.6387671464774237,1.3304486025158226,329,0.015108093820427923,False,False
unlabeled,Mold_Temperature_3,35941,0,-3.2896778395281343e-16,1.0000139119789102,-1.2769663330411816,-1.2769663330411816,0.5268341741299754,0.6836863921448586,1.755509881913227,156,0.36598870370885617,False,False
unlabeled,Mold_Temperature_4,35941,0,5.0610428300432836e-17,1.0000139119789102,-1.2250830353299604,-1.2250830353299604,0.4242648704839,0.5654252768373387,2.1850552023662644,258,0.36598870370885617,False,False
