fail_idx,twin_idx,twin_label,idx_distance,fail_position_in_pair
1347.0,1348.0,0.0,1.0,first
1371.0,1372.0,0.0,1.0,first
1381.0,1382.0,0.0,1.0,first
1415.0,1416.0,0.0,1.0,first
1455.0,1456.0,0.0,1.0,first
1511.0,1512.0,0.0,1.0,first
1515.0,1516.0,0.0,1.0,first
1521.0,1522.0,0.0,1.0,first
1533.0,1534.0,0.0,1.0,first
1557.0,1558.0,0.0,1.0,first
1618.0,1617.0,0.0,-1.0,second
1621.0,1622.0,0.0,1.0,first
1674.0,1673.0,0.0,-1.0,second
1761.0,1762.0,0.0,1.0,first
1831.0,1832.0,0.0,1.0,first
1897.0,1898.0,0.0,1.0,first
1937.0,1938.0,0.0,1.0,first
1973.0,1974.0,0.0,1.0,first
2021.0,2022.0,0.0,1.0,first
2105.0,2106.0,0.0,1.0,first
2163.0,2164.0,0.0,1.0,first
2177.0,2178.0,0.0,1.0,first
2183.0,2184.0,0.0,1.0,first
2331.0,2332.0,0.0,1.0,first
2343.0,2344.0,0.0,1.0,first
