gid,size,idx_list,idx_span,n_fail,label_conflict
0,2,"1211,1212",1,0,False
1,2,"1213,1214",1,0,False
2,2,"1215,1216",1,0,False
3,2,"1217,1218",1,0,False
4,2,"1219,1220",1,0,False
5,2,"1221,1222",1,0,False
6,2,"1223,1224",1,0,False
7,2,"1225,1226",1,0,False
8,2,"1227,1228",1,0,False
9,2,"1229,1230",1,0,False
10,2,"1231,1232",1,0,False
11,2,"1233,1234",1,0,False
12,2,"1235,1236",1,0,False
13,2,"1237,1238",1,0,False
14,2,"1239,1240",1,0,False
15,2,"1241,1242",1,0,False
16,2,"1243,1244",1,0,False
17,2,"1245,1246",1,0,False
18,2,"1247,1248",1,0,False
19,2,"1249,1250",1,0,False
20,2,"1251,1252",1,0,False
21,2,"1253,1254",1,0,False
22,2,"1255,1256",1,0,False
23,2,"1257,1258",1,0,False
24,2,"1259,1260",1,0,False
25,2,"1261,1262",1,0,False
26,2,"1263,1264",1,0,False
27,2,"1265,1266",1,0,False
28,2,"1267,1268",1,0,False
29,2,"1269,1270",1,0,False
30,2,"1271,1272",1,0,False
31,2,"1273,1274",1,0,False
32,2,"1275,1276",1,0,False
33,2,"1277,1278",1,0,False
34,2,"1279,1280",1,0,False
35,2,"1281,1282",1,0,False
36,2,"1283,1284",1,0,False
37,2,"1285,1286",1,0,False
38,2,"1287,1288",1,0,False
39,2,"1289,1290",1,0,False
40,2,"1291,1292",1,0,False
41,2,"1293,1294",1,0,False
42,2,"1295,1296",1,0,False
43,2,"1297,1298",1,0,False
44,2,"1299,1300",1,0,False
45,2,"1301,1302",1,0,False
46,2,"1303,1304",1,0,False
47,2,"1305,1306",1,0,False
48,2,"1307,1308",1,0,False
49,2,"1309,1310",1,0,False
50,2,"1311,1312",1,0,False
51,2,"1313,1314",1,0,False
52,2,"1315,1316",1,0,False
53,2,"1317,1318",1,0,False
54,2,"1319,1320",1,0,False
55,2,"1321,1322",1,0,False
56,2,"1323,1324",1,0,False
57,2,"1325,1326",1,0,False
58,2,"1327,1328",1,0,False
59,2,"1329,1330",1,0,False
60,2,"1331,1332",1,0,False
61,2,"1333,1334",1,0,False
62,2,"1335,1336",1,0,False
63,2,"1337,1338",1,0,False
64,2,"1339,1340",1,0,False
65,2,"1341,1342",1,0,False
66,2,"1343,1344",1,0,False
67,2,"1345,1346",1,0,False
68,2,"1347,1348",1,1,True
69,2,"1349,1350",1,0,False
70,2,"1351,1353",2,0,False
71,2,"1352,1354",2,0,False
72,2,"1355,1356",1,0,False
73,2,"1357,1358",1,0,False
74,2,"1359,1360",1,0,False
75,2,"1361,1362",1,0,False
76,2,"1363,1364",1,0,False
77,2,"1365,1366",1,0,False
78,2,"1367,1368",1,0,False
79,2,"1369,1370",1,0,False
80,2,"1371,1372",1,1,True
81,2,"1373,1374",1,0,False
82,2,"1375,1376",1,0,False
83,2,"1377,1378",1,0,False
84,2,"1379,1380",1,0,False
85,2,"1381,1382",1,1,True
86,2,"1383,1384",1,0,False
87,2,"1385,1386",1,0,False
88,2,"1387,1388",1,0,False
89,2,"1389,1390",1,0,False
90,2,"1391,1392",1,0,False
91,2,"1393,1394",1,0,False
92,2,"1395,1396",1,0,False
93,2,"1397,1398",1,0,False
94,2,"1399,1400",1,0,False
95,2,"1401,1402",1,0,False
96,2,"1403,1404",1,0,False
97,2,"1405,1406",1,0,False
98,2,"1407,1408",1,0,False
99,2,"1409,1410",1,0,False
100,2,"1411,1412",1,0,False
101,2,"1413,1414",1,0,False
102,2,"1415,1416",1,1,True
103,2,"1417,1418",1,0,False
104,2,"1419,1420",1,0,False
105,2,"1421,1422",1,0,False
106,2,"1423,1424",1,0,False
107,2,"1425,1426",1,0,False
108,2,"1427,1428",1,0,False
109,2,"1429,1430",1,0,False
110,2,"1431,1432",1,0,False
111,2,"1433,1434",1,0,False
112,2,"1435,1436",1,0,False
113,2,"1437,1438",1,0,False
114,2,"1439,1440",1,0,False
115,2,"1441,1442",1,0,False
116,2,"1443,1444",1,0,False
117,2,"1445,1446",1,0,False
118,2,"1447,1448",1,0,False
119,2,"1449,1450",1,0,False
120,2,"1451,1452",1,0,False
121,2,"1453,1454",1,0,False
122,2,"1455,1456",1,1,True
123,2,"1457,1458",1,0,False
124,2,"1459,1460",1,0,False
125,2,"1461,1462",1,0,False
126,2,"1463,1464",1,0,False
127,2,"1465,1466",1,0,False
128,2,"1467,1468",1,0,False
129,2,"1469,1470",1,0,False
130,2,"1471,1472",1,0,False
131,2,"1473,1474",1,0,False
132,2,"1475,1476",1,0,False
133,2,"1477,1478",1,0,False
134,2,"1479,1480",1,0,False
135,2,"1481,1482",1,0,False
136,2,"1483,1484",1,0,False
137,2,"1485,1486",1,0,False
138,2,"1487,1488",1,0,False
139,2,"1489,1490",1,0,False
140,2,"1491,1492",1,0,False
141,2,"1493,1494",1,0,False
142,2,"1495,1496",1,0,False
143,2,"1497,1498",1,0,False
144,2,"1499,1500",1,0,False
145,2,"1501,1502",1,0,False
146,2,"1503,1504",1,0,False
147,2,"1505,1506",1,0,False
148,2,"1507,1508",1,0,False
149,2,"1509,1510",1,0,False
150,2,"1511,1512",1,1,True
151,2,"1513,1514",1,0,False
152,2,"1515,1516",1,1,True
153,2,"1517,1518",1,0,False
