feature,mean_L,std_L,mean_U,std_U,min_L,max_L,min_U,max_U,nunique_L,nunique_U,min_step_L,min_step_U,step_ratio_L/U(=원단위 std_U/std_L 추정),ks_stat,ks_p
Injection_Time,-4.715310676228618e-14,1.0004232804422357,1.391786778261903e-16,1.0000139119789104,-8.627730385041827,8.569633990700348,-1.1507292251831465,2.8006656756633976,3,91,8.598630935987961,0.0035092317059026157,2450.288740274644,0.5419314536499963,3.381854336e-315
Filling_Time,-1.923635156034112e-16,1.0004232804422357,2.0244171320173135e-16,1.00001391197891,-1.1925314031676415,0.8385523411322893,-1.3076320604684035,1.662808268788717,2,97,2.0310837442999308,0.004950733882094993,410.2591237322659,0.4128039133132788,6.42886014688404e-177
Plasticizing_Time,-1.7601261677712126e-14,1.0004232804422357,2.5305214150216418e-17,1.0000139119789102,-2.7362312346710054,3.773532934232066,-1.5341627239294433,4.638509751262802,27,470,0.2244583862873082,0.0016112431415267192,139.3075821409701,0.31068331530934007,1.394340182800008e-98
Cycle_Time,5.502648534233517e-14,1.0004232804422357,1.2652607075108208e-16,1.0000139119789102,-1.3950399372025626,11.761887849595585,-4.267866817652327,1.744651779957047,10,371,0.27405691636425566,0.0007891479981101401,347.28202697158207,0.6238033652727814,0.0
Clamp_Close_Time,4.97259687834818e-14,1.0004232804422357,-5.567147113047612e-16,1.00001391197891,-1.8067254988278127,1.033078147747445,-1.6342007151202067,5.977414742810765,3,88,1.4198679701578267,0.00618830525035019,229.44375119140702,0.42112503331390416,1.950270479131092e-184
Cushion_Position,2.788886249218256e-12,1.0004232804422357,-1.518312849012985e-16,1.00001391197891,-1.9118180435387704,2.8676077756748666,-1.3762159788928572,0.7623277306531357,7,68,0.7925192355359338,3.264154877491432e-05,24279.46176821734,0.4410622485215123,3.467044631437571e-203
Plasticizing_Position,1.813266588956655e-13,1.0004232804422357,7.591564245064925e-17,1.0000139119789102,-2.537408527602385,2.932550301441406,-1.9378933654413613,3.085527559387589,8,207,0.7812949368350832,0.0012746564133014893,612.9455190292812,0.3049993430199174,6.045480870163531e-95
Clamp_Open_Position,0.0,0.0,5.0610428300432836e-17,1.0000139119789102,0.0,0.0,-0.8177855210322926,1.9164107181121883,1,53,,0.00041744091347073464,,0.6333157118611057,0.0
Max_Injection_Speed,-2.7556073610188658e-14,1.0004232804422357,0.0,1.0000139119789102,-2.5222910205480336,2.187583295011355,-2.1310249750086427,0.9653639675854752,7,179,0.7849091817418125,0.0024040286821378487,326.4974280771935,0.356714668347933,8.68351615660131e-131
Max_Screw_RPM,-1.2069307764148403e-14,1.000423280442236,-1.0122085660086567e-16,1.0000139119789102,-2.0085875478583746,2.0199701834919805,-1.1791454382343742,2.2728733391904576,4,28,1.3428355018198468,0.005488106164426743,244.68103596901028,0.4235960410959285,1.0543365984544108e-186
Average_Screw_RPM,-8.43273561526454e-14,1.0004232804422357,1.0122085660086567e-16,1.00001391197891,-1.9605785402082003,2.655763759644376,-1.297009448996887,1.2958618373528483,4,83,1.5387807666175253,0.0006945811107281763,2215.4083127949125,0.3022587168263309,3.22770554631398e-93
Max_Injection_Pressure,-7.252104538248602e-14,1.000423280442236,1.771364990515149e-16,1.0000139119789102,-3.3907009774255954,2.516677350426207,-3.555191585760097,1.8209095402739088,10,236,0.6563197277544477,0.0028764586014087268,228.16936333900978,0.2506692793335723,7.945638195619143e-64
Max_Switch_Over_Pressure,-1.1613947254555952e-14,1.0004232804422357,-3.2896778395281343e-16,1.00001391197891,-13.791078364457531,1.5464428714788303,-0.5632183469898971,121.2517729937483,17,303,0.21009973687945127,0.0018787012853288994,111.83243367115153,0.25603744922998695,1.3027395927704516e-66
Max_Back_Pressure,6.5884504094168345e-15,1.0004232804422357,5.0610428300432836e-17,1.0000139119789102,-2.574681985283334,2.091966359624972,-1.381248004442557,2.5550057570253872,16,233,0.31110514250037213,0.004152166415050118,74.92598113908134,0.2683036510626482,3.270776060620961e-73
Average_Back_Pressure,8.127358534244124e-15,1.0004232804422357,-1.518312849012985e-16,1.0000139119789102,-2.4693754581561533,2.1806159488549217,-1.1542676151081206,2.9611882767697506,21,208,0.23249602268865233,0.0030260705087330475,76.83099981235848,0.277860769278246,1.3902497990511498e-78
Barrel_Temperature_1,-4.462307568011162e-14,1.0004232804422357,-1.0122085660086567e-16,1.0000139119789102,-3.166663722868448,2.660669421463303,-1.310547468126909,0.8235092903704372,25,78,0.23303641822303245,0.0007420225168625061,314.055723279639,0.3436791101189479,3.65304489632564e-121
Barrel_Temperature_2,4.473654009751832e-14,1.0004232804422357,3.6692560517813804e-16,1.00001391197891,-2.1926292561524083,3.1390216698288818,-2.265639577064478,1.0166803186117448,22,93,0.2422872580595741,0.007723105636882499,31.371739485538814,0.2996858783084573,1.3035612739157213e-91
Barrel_Temperature_3,2.130275651311214e-14,1.0004232804422357,-3.2896778395281343e-16,1.0000139119789102,-2.46051520821568,2.4563525652629603,-3.3004130717132147,0.9220944544813272,17,91,0.30723389841146,0.008183154120529057,37.544679458095885,0.32783856942457534,5.2317736394349474e-110
Barrel_Temperature_4,4.0687889230052776e-14,1.0004232804422357,-7.047502140835272e-15,1.0000139119789102,-2.2922160097708995,2.095202139472129,-3.0886497733106646,0.9211003660555788,30,144,0.1462115667411312,0.010281410613755981,14.220963662856523,0.299876734435657,9.919560186133127e-92
