algo,perm,roc_auc,prauc
LogReg,0,0.5388678776587487,0.08476223926106577
LogReg,1,0.6571721782331937,0.13793083792393387
LogReg,2,0.3374503959012576,0.04183223342708909
LogReg,3,0.38127123117528344,0.052710843308192354
LogReg,4,0.5464639031206334,0.0830503646498297
LogReg,5,0.6806309579257882,0.11333567856324253
LogReg,6,0.4816674429436423,0.07268851862996524
LogReg,7,0.582386275423071,0.12275833217061378
LogReg,8,0.4730858562335042,0.052931177600535145
LogReg,9,0.6540378823164106,0.08456013587945059
LogReg,10,0.608572581897221,0.14472523035465698
LogReg,11,0.57659618071728,0.1046979313547509
LogReg,12,0.4844719764011799,0.08120309025215196
LogReg,13,0.41029933240180094,0.05045613446701318
LogReg,14,0.477951560316721,0.06518743352712676
LogReg,15,0.5772321068157118,0.12043017113324073
LogReg,16,0.4762564819127465,0.07680309283233643
LogReg,17,0.616427262847384,0.1719393051696845
LogReg,18,0.5488507995652848,0.07657224627510793
LogReg,19,0.5441543238627543,0.09597899506891602
LogReg,20,0.48121285514671636,0.07151424752168524
LogReg,21,0.49022915696320446,0.08490077755877627
LogReg,22,0.5578018941158205,0.09187104646584686
LogReg,23,0.5594556745846918,0.06694127498235004
LogReg,24,0.4752283806862288,0.07036918974444915
LogReg,25,0.3843595714951096,0.05757439518155188
LogReg,26,0.5001474926253687,0.06661409352661249
LogReg,27,0.5004778761061947,0.07218704720200195
LogReg,28,0.4523157894736843,0.07085611353011198
LogReg,29,0.4735398230088495,0.06013786795379557
RF,0,0.48665362521347616,0.06928613764960365
RF,1,0.5880307405682348,0.09739553426046933
RF,2,0.35752911038658597,0.05045455232754958
RF,3,0.49285343890700206,0.06276901081519763
RF,4,0.527463437354448,0.10063366447704938
RF,5,0.4809198882161156,0.05835311562902129
RF,6,0.5394935569011023,0.1443440913327287
RF,7,0.5827723955907467,0.11358741398670226
RF,8,0.5170928427262848,0.071552219051831
RF,9,0.5604943331780778,0.08282243785268782
RF,10,0.5680023288309269,0.11837003318772432
RF,11,0.6196110852352119,0.13388744672659822
RF,12,0.5479692594317652,0.07345341472831478
RF,13,0.4411150442477876,0.05480032152605709
RF,14,0.4520673808414842,0.07136090812784106
RF,15,0.6222095947834188,0.09914862981766624
RF,16,0.5927256637168142,0.08671823019297639
RF,17,0.535144077006676,0.1192525093368707
RF,18,0.5436624747709984,0.0790818543103373
RF,19,0.5696328209905294,0.11047146959120285
RF,20,0.4949274957304766,0.06413652773599664
RF,21,0.4533805309734514,0.06248344804378421
RF,22,0.6489496972519795,0.10826369193976447
RF,23,0.5674581586710139,0.11988429271025616
RF,24,0.5743351963980748,0.06472034571223632
RF,25,0.5293119080888061,0.07675707148615457
RF,26,0.5076014594007142,0.06846863041349067
RF,27,0.42435522434404604,0.04810933195777781
RF,28,0.5993390777829529,0.10404109587053367
RF,29,0.5352030740568234,0.09809216370236365
HGB,0,0.4412109920819749,0.0609659550188478
HGB,1,0.5671762148734668,0.09548583080440608
HGB,2,0.3743406303369043,0.05178527084988182
HGB,3,0.37434466697717744,0.04626133155889749
HGB,4,0.5201089892873777,0.09293088121565556
HGB,5,0.5053184288154013,0.06469556464020532
HGB,6,0.5645399782642447,0.08917087242868015
HGB,7,0.6023331780779383,0.13596969799858688
HGB,8,0.43529389846297156,0.06214584973216449
HGB,9,0.6465744449619625,0.12672127814887627
HGB,10,0.5409175593851887,0.10171477619706831
HGB,11,0.6279506287843502,0.15491972814084565
HGB,12,0.4772917248874398,0.05647864532992733
HGB,13,0.4121521502872226,0.05258873314897785
HGB,14,0.49833348858872845,0.07015645581343902
HGB,15,0.5880785592299332,0.09581145556779685
HGB,16,0.6355957149510946,0.08900719417449572
HGB,17,0.5201263778916317,0.09881303352767219
HGB,18,0.5454019562179786,0.08097295884392963
HGB,19,0.5797599751591368,0.11502538673504578
HGB,20,0.4688952026082906,0.05197954389419496
HGB,21,0.48120571339854057,0.07198035301154218
HGB,22,0.6215634218289086,0.10791033863282372
HGB,23,0.5469004812917249,0.11731334616835185
HGB,24,0.5286213320912903,0.06641478783623313
HGB,25,0.6557913367489521,0.0962346166751701
HGB,26,0.4663213786679086,0.06028841388458028
HGB,27,0.4038975314392175,0.05352605017043928
HGB,28,0.5208976866946127,0.10743944659835755
HGB,29,0.5919621176835895,0.10690449781287004
