feature,mean_before,mean_after,smd_after_vs_before,ks_p,smd_fail_vs_pass_before,smd_fail_vs_pass_after,smd_fail_vs_pass_all
Injection_Time,-0.10496972201846606,0.14219006169820958,0.24132748026317685,0.9999999357078271,0.13629455749329591,-0.20541923052983077,-0.042015488695630605
Filling_Time,-0.45775698978854884,0.6200692291956434,1.3104759925687242,8.876550181502877e-38,-0.06135235628875348,0.5012877510894609,0.02704690553014803
Plasticizing_Time,0.4526246106069581,-0.6131170024158411,-1.282898415679903,5.209650873894974e-33,0.1636994723860478,0.2690528892872809,0.1948529326525642
Cycle_Time,0.02862106865760229,-0.03876957507391339,-0.06268449408341197,0.0001312941000045932,0.004348026974901327,0.012807241049601202,0.010815494888932646
Clamp_Close_Time,0.6029416744349271,-0.816733742262334,-1.9613361166080225,5.1273091569793136e-58,-0.0670773186767651,0.5168355233747277,0.19673337114137537
Cushion_Position,0.517835433098937,-0.7014503874581288,-1.528807451130117,1.2278634008305068e-40,0.10532490764617973,-0.4980498793280292,-0.0655371322319737
Plasticizing_Position,-0.4504469556060535,0.6101671908612164,1.2857664139745622,9.878443872543566e-37,-0.19075920747758088,0.10962710585786903,-0.10950353703072248
Clamp_Open_Position,0.0,0.0,,,,,
Max_Injection_Speed,0.6476289077242795,-0.877266249507057,-2.325297394686285,8.030353467879465e-66,0.13922084391976466,-0.5500753648926835,-0.04242399090622232
Max_Screw_RPM,0.029377943733001382,-0.03979482418018963,-0.06930862638162463,0.999512205381634,0.02062004356451742,0.3914948271467525,0.14961237208212605
Average_Screw_RPM,0.17108540413548917,-0.23174915301241492,-0.41158469552672744,0.0009609788693384776,-0.3189098012527881,0.7543531723145025,0.13914549694464726
Max_Injection_Pressure,-0.4582674856191445,0.6207607374918972,1.2889288889960222,4.7624753655676316e-30,-0.22029655970880155,0.5750693268594417,0.02260547238747994
Max_Switch_Over_Pressure,-0.40009843850071986,0.5419660123117049,1.1204475848241444,5.5901740730292e-54,0.1215063695424135,0.43777766967538156,0.12570274473228685
Max_Back_Pressure,-0.5213591429527132,0.7062235402546868,1.5468281578193042,3.7172453055410135e-34,1.6862656583517095e-06,0.32662355114026825,0.07761403359056869
Average_Back_Pressure,-0.5813403147168617,0.7874729362698715,1.8679013388485908,2.0328371081898416e-51,0.16368851161174258,0.0877975886754954,0.0629413811992512
Barrel_Temperature_1,-3.5767233660730906e-05,4.844963911665799e-05,8.390028893334338e-05,0.9988617356860581,-0.07133131306095751,-0.1873047302826836,-0.11711102150228327
Barrel_Temperature_2,0.019881019185879607,-0.02693046423574754,-0.046776250020602025,0.8317652961047557,-0.27073204802171563,0.28522728702246186,-0.05361358546240318
Barrel_Temperature_3,0.008767192874465212,-0.011875878794046144,-0.020506145461874573,0.9976705085568186,-0.18773077054336015,-0.1265085269824455,-0.16242132556285824
Barrel_Temperature_4,-0.004286953970178041,0.005807029282408691,0.01010411869927363,0.9852614355883961,-0.05397351816959899,-0.030416078784203396,-0.04535100294007085
Barrel_Temperature_5,0.016255519559289156,-0.022019428885281016,-0.03820817758711667,0.9755727366868224,0.5369063672667996,0.4019151236588922,0.4845023054050209
Barrel_Temperature_6,-0.02076215371432786,0.02812403291975542,0.04876626300381398,0.9843987595659061,0.03545942240680678,0.06558046222369344,0.047508007530219866
Hopper_Temperature,0.621647190500318,-0.8420718915143899,-2.067414292360751,4.0145974460845304e-91,-0.3301567508104207,-0.23623962683771058,-0.14482367221886122
Mold_Temperature_3,-0.34581877285710505,0.46843977199767134,0.8581295448908242,9.373452679294847e-69,0.1205651256048091,-0.2325587340072448,-0.09383495744080622
Mold_Temperature_4,-0.49601019396406704,0.671886318517063,1.3727123346885368,9.373452679294847e-69,0.17085401896893898,-0.2292761962101326,-0.08614622151806432
