family,model,prauc_mean,prauc_std,f1_F1max,precision_F1max,recall_F1max,recall_at_20,roc_auc,perm_p_prauc
기준선,무작위 (불량률 / 무작위 검사),0.042,,,,,0.2,0.5,
지도학습 · class_weight,LogReg | class_weight,0.0493524388663531,0.0139326626610192,0.0656550363755551,0.0346922301197638,0.696,0.12,0.436154013351964,0.967741935483871
지도학습 · class_weight,RF | class_weight,0.0778546359572995,0.0551184601699875,0.0582500292195168,0.0337438487177468,0.392,0.204,0.4971533923303834,0.5483870967741935
지도학습 · class_weight,HGB | class_weight,0.0767299268450918,0.0512455235431706,0.0649413292164247,0.0370018269680031,0.424,0.236,0.4882468560782487,0.5806451612903226
지도학습 · 오버샘플링,HGB | ROS,0.0786387190429802,0.0497081917315162,0.0673804446604653,0.0379737774203191,0.432,0.228,0.5091830461108523,0.6129032258064516
지도학습 · 오버샘플링,RF | SMOTE,0.0840650529337136,0.0530469785836684,0.0597135360984207,0.039602704253891,0.272,0.204,0.4971332091290172,0.6129032258064516
앙상블 · 준지도학습,소프트보팅 (LogReg+RF+HGB),0.0656192684281546,0.0441854388839963,0.0606588618505474,0.0323633418032734,0.5720000000000001,0.176,0.4652718521968639,0.7419354838709677
앙상블 · 준지도학습,자기학습 + 소프트보팅,0.0644517965279952,0.0424504170588729,0.0589036998371268,0.0325579355002995,0.552,0.148,0.463371526160534,0.7419354838709677
이상탐지 · 정상만 학습,Isolation Forest,0.0691243732574862,0.0479790757251045,0.0422966832525103,0.0230180759240738,0.44,0.156,0.4286589038969104,0.6774193548387096
이상탐지 · 정상만 학습,마할라노비스 거리,0.0574313864002271,0.0227726066755314,0.0520841945346604,0.0292650095095436,0.364,0.196,0.4656233504114268,0.8709677419354839
이상탐지 · 정상만 학습,One-Class SVM,0.0558075995250006,0.0217534434632718,0.0500908655631602,0.0279298720573302,0.432,0.188,0.4333246390312063,0.8387096774193549
이상탐지 · 정상만 학습,LOF,0.0490377626285621,0.0155588708262527,0.0623817512767264,0.0332609370682322,0.632,0.1,0.4293532060239093,0.935483870967742
