feature,nunique_labeled,nunique_unlabeled,raw_std_ratio_U_over_L(est),unlabeled_between_run_var_share,share_U_mapped_to_L_mode,U_rows_|z|>5,batch_dependence_mean_abs_diff
Injection_Time,3,91,2450.288740274644,0.5453679959996571,0.9848362594251691,0,0.03853388510226169
Filling_Time,2,97,410.2591237322659,0.5196489288102488,0.5732172171058123,0,0.0
Plasticizing_Time,27,470,139.3075821409701,0.5760170305228448,0.06084972593973457,0,0.418409047471867
Cycle_Time,10,371,347.28202697158207,0.42493899259777934,0.6269441584819565,0,0.17864396086004078
Clamp_Close_Time,3,88,229.44375119140702,0.5449822955399811,0.44890236776939985,2,0.39586144335336426
Cushion_Position,7,68,24279.46176821734,0.5235048725748079,0.2798753512701372,0,0.11825382354480887
Plasticizing_Position,8,207,612.9455190292812,0.5314985141422296,0.3201914248351465,0,0.18596828373310867
Clamp_Open_Position,1,53,,0.5234803181228592,1.0,0,0.0
Max_Injection_Speed,7,179,326.4974280771935,0.5526668242305459,0.2966806710998581,0,0.2892195737113663
Max_Screw_RPM,4,28,244.68103596901028,0.49075247188071414,0.4889123841851924,0,0.2664051126398515
Average_Screw_RPM,4,83,2215.4083127949125,0.4990678852852718,0.6462814056370162,0,0.3115955416857179
Max_Injection_Pressure,10,236,228.16936333900978,0.5479432709417702,0.24910269608525082,0,0.5569774340701786
Max_Switch_Over_Pressure,17,303,111.83243367115153,0.11707906131027854,0.13641801841907572,2,0.31947005726131616
Max_Back_Pressure,16,233,74.92598113908134,0.5667809953655644,0.14941153557218775,0,0.38543743157892524
Average_Back_Pressure,21,208,76.83099981235848,0.5845377100247073,0.08160596533207201,0,0.49660196722999983
Barrel_Temperature_1,25,78,314.055723279639,0.5294179309995474,0.09535071366962522,0,0.2051800714337157
Barrel_Temperature_2,22,93,31.371739485538814,0.6219021765017512,0.07039314431985755,0,0.20567330339792445
Barrel_Temperature_3,17,91,37.544679458095885,0.6332651550221045,0.24089479981080103,0,0.23684678891548788
Barrel_Temperature_4,30,144,14.220963662856523,0.654361480410496,0.06238001168581842,0,0.22983619893210733
Barrel_Temperature_5,21,106,25.797917599434694,0.6572980442407695,0.17756879330013076,0,0.19945069572875412
Barrel_Temperature_6,12,89,24.109847936050876,0.5954836466886742,0.17450822180796305,0,0.33702396998538814
Hopper_Temperature,52,329,10.143068691805096,0.553936011058722,0.08764363818480288,0,0.3555474461717194
Mold_Temperature_3,26,156,16.350737376220383,0.48638780794358283,0.10506107231295735,0,0.21697098540594306
Mold_Temperature_4,29,258,16.33894661367393,0.4663555859886164,0.11051445424445619,0,0.12914698633182786
