idx,PassOrFail,nn1_dist,nn5_mean_dist,nn1_idx,nn1_idx_gap
1211,0,2.562802437323723,2.981703993962607,1229,18
1213,0,3.1440577437988466,3.245994041861317,1233,20
1215,0,3.147192137056559,3.5495937012581487,1249,34
1217,0,2.927495449815937,3.177167438473577,1237,20
1219,0,3.2680236931656834,3.5063009349256573,1239,20
1221,0,3.391918748873264,3.7203864739682677,1237,16
1223,0,3.5012176758902642,3.881500024554339,1461,238
1225,0,3.04025847556216,3.6570153550774642,1211,14
1227,0,2.4966190589965143,3.0563936834751484,1245,18
1229,0,2.562802437323723,3.480093946696369,1211,18
1231,0,3.2673947971929214,3.4021353483271453,1217,14
1233,0,2.7396370800092065,3.171242653270556,1263,30
1235,0,3.1785946029334338,3.3350748286943386,1245,10
1237,0,2.927495449815937,3.5491235850348852,1217,20
1239,0,2.974141894686297,3.675507372417301,1227,12
1241,0,2.931628929459288,3.5071472185216863,1245,4
1243,0,2.458587769414434,2.816296664709424,1277,34
1245,0,2.4966190589965143,3.061188005704838,1227,18
1247,0,3.4920207340752163,4.090691122326847,1235,12
1249,0,3.147192137056559,3.31947438020246,1215,34
1251,0,2.9495515447404625,3.395103047594185,1287,36
1253,0,3.254641729850529,3.8764835685310075,1269,16
1255,0,3.118700404047349,3.3510050569435514,1367,112
1257,0,3.5799107902214806,3.9090001820810167,1271,14
1259,0,3.4148120085498714,3.6690525322872594,1227,32
1261,0,3.373469156725504,3.619553967602747,1283,22
1263,0,2.7396370800092065,3.1689996275695345,1233,30
1265,0,2.902034473418741,3.2918349443652666,1289,24
1267,0,3.169438399899902,3.6986904796785316,1263,4
1269,0,3.254641729850529,3.8273793958995013,1253,16
1271,0,3.548803362523458,3.7762613246884547,1251,20
1273,0,3.3525855800427515,4.090315865145741,1255,18
1275,0,3.385148931559578,3.819631654115743,1277,2
1277,0,2.458587769414434,3.227873567238524,1243,34
1279,0,3.0011422536941703,7.215299857522434,1281,2
1281,0,3.0011422536941703,7.490670504551382,1279,2
1283,0,3.373469156725504,3.4465637690913447,1261,22
1285,0,4.207997819642723,4.4084724645584235,1253,32
1287,0,2.9495515447404625,3.2701236893762022,1251,36
1289,0,2.902034473418741,3.8083616040478816,1265,24
1291,0,3.4477051293539183,3.7608572862106775,1352,61
1293,0,2.809997243365908,3.1981100397817634,1363,70
1295,0,2.736901523692701,3.300598914853025,1403,108
1297,0,2.6921386325686236,2.8012706542500445,1315,18
1299,0,4.1080395454090395,4.415960412169172,1459,160
1301,0,3.5274560880246213,3.8222264422701917,1559,258
1303,0,2.8028661340836316,2.9517826762941324,1339,36
1305,0,2.284395642440623,2.614414541155322,1395,90
1307,0,2.28514113755929,2.5471219503190894,1397,90
1309,0,2.343781065854025,2.658403374091479,1363,54
1311,0,2.4139458895192725,2.6201629109067563,1497,186
1313,0,2.6054513345478805,3.3689806849922674,1447,134
1315,0,2.411727867555643,2.8096460590963988,1575,260
1317,0,2.024799407698364,2.5765829406781444,1421,104
1319,0,3.1169015340285844,3.3017881411128953,1951,632
1321,0,1.7795993377281472,2.756229454161385,1451,130
1323,0,2.958708125878111,3.355540763957187,1343,20
1325,0,3.0871824211459726,3.2564206590738225,1399,74
1327,0,3.0666467050087767,3.2316262013010175,1309,18
1329,0,2.4264294497678547,2.6492397521498137,1331,2
1331,0,2.4264294497678547,3.081872648411816,1329,2
1333,0,2.593865500446623,2.730633540556886,1401,68
1335,0,2.545564257859691,2.9450295290892465,1317,18
1337,0,3.1925059036475996,3.410072457278236,1423,86
1339,0,2.5037779090127983,2.7452390719553272,1375,36
1341,0,2.4205977648563777,2.8291750027268643,1359,18
1343,0,2.273491349198469,2.5530936107713047,1491,148
1345,0,3.1078154128866675,3.4346722487177175,1403,58
1347,1,3.4548457682330436,3.689766228931012,1465,118
1349,0,2.6131600222926905,2.9995636192689332,1475,126
1351,0,3.9738433749147126,4.134547341642542,1315,36
1352,0,2.1538782941397066,2.6458776389917222,1447,95
1355,0,2.751518134092018,3.1177323784267927,1395,40
1357,0,2.1931122777246355,2.825169830161938,1375,18
1359,0,2.4205977648563777,2.981762979361247,1341,18
1361,0,2.570859694339696,3.1087494773614193,1307,54
1363,0,2.343781065854025,2.7847851103499934,1309,54
1365,0,2.7620267211533434,3.093895839310322,1447,82
1367,0,3.0305584239808274,3.1066374013087077,1475,108
1369,0,2.579157434521675,3.0537527485984874,1335,34
1371,1,2.1750630683661325,2.7157770230363516,1493,122
1373,0,3.5505009099949985,3.8265813986211477,1355,18
1375,0,2.1931122777246355,2.8623018364856954,1357,18
1377,0,2.156160995313288,2.5768563272720644,2029,652
1379,0,2.4532033018525943,3.0033769502223873,1491,112
1381,1,2.3886605882108483,2.614200138374753,1363,18
1383,0,3.1910129707266672,3.4039725264146496,1467,84
1385,0,3.776351107860498,3.8482727040457094,1473,88
1387,0,2.708991230380137,3.0506833370817468,1401,14
1389,0,3.1018583887154727,3.442718401522371,1315,74
1391,0,3.358093785546049,3.51785486728874,1739,348
1393,0,2.676068804644482,3.184642037976036,1305,88
1395,0,2.284395642440623,2.7897222777133712,1305,90
1397,0,2.28514113755929,2.6415484541618417,1307,90
1399,0,2.0927914353075927,2.572405052510801,1417,18
1401,0,2.002165209363881,2.5879358081797976,1473,72
1403,0,2.718026099755444,2.855302655849183,1309,94
1405,0,2.762802453111318,2.9867823964298355,1297,108
1407,0,3.076167896698854,3.400685239373607,1369,38
1409,0,2.8761228018415896,3.083884708746174,1411,2
1411,0,2.83829765086306,2.902363128032701,1339,72
1413,0,2.5189289387574325,2.9488158935049116,1305,108
1415,1,3.1620383405266423,3.304039533957422,1397,18
1417,0,2.0927914353075927,2.8696961487191874,1399,18
1419,0,2.933506247814938,3.3337600557239613,1435,16
1421,0,2.024799407698364,3.044611821986279,1317,104
1423,0,3.190239774838781,3.322684358170315,2015,592
1425,0,3.355814962192726,3.613693525181737,1981,556
1427,0,2.9226725639843916,3.121592046986965,1951,524
1429,0,2.7053095943969474,3.0016109029311577,1377,52
1431,0,2.397443336161552,3.1009120658575844,1451,20
1433,0,3.1648430424827234,3.294723889241152,1451,18
1435,0,2.933506247814938,3.210736205235913,1419,16
1437,0,2.759987918453954,3.1183048293744724,1363,74
1439,0,3.1658378267694958,3.6462363470265537,1457,18
1441,0,2.734875403637349,3.087363437271215,1329,112
1443,0,2.8631944881369944,3.2308634723921443,1369,74
1445,0,3.4671796656184486,3.628242778661774,1907,462
1447,0,2.1538782941397066,2.9046639768403857,1352,95
1449,0,2.991146964541381,3.41219390034023,1359,90
1451,0,1.7795993377281472,2.5202466480228094,1321,130
1453,0,3.1008726402619295,3.197114767146195,1435,18
1455,1,2.8565319772431157,3.2070943652610273,1325,130
1457,0,3.1658378267694958,3.72539372594039,1439,18
1459,0,3.2935718391096236,3.639083776568712,1293,166
1461,0,3.1127210958440834,3.4603785774147715,1367,94
