algo,perm,roc_auc,prauc
IsolationForest,0,0.49006893339543545,0.10389696479038486
IsolationForest,1,0.45627045489830775,0.06961501157455201
IsolationForest,2,0.5307619934792733,0.08840210760634344
IsolationForest,3,0.587405061325881,0.1098262133167516
IsolationForest,4,0.4996168296848315,0.07292748427437161
IsolationForest,5,0.5274677845055116,0.11604822028991384
IsolationForest,6,0.5709771774569167,0.07280576596243886
IsolationForest,7,0.4746188480049682,0.08865812339269925
IsolationForest,8,0.5674777208507996,0.09615168905791657
IsolationForest,9,0.38469802825648186,0.043645573678568486
IsolationForest,10,0.5507899394503959,0.06530294274287017
IsolationForest,11,0.42443782021425247,0.13373245507268755
IsolationForest,12,0.5862126998913212,0.12453767517471848
IsolationForest,13,0.5249930135072194,0.10200266421553489
IsolationForest,14,0.4721782331936036,0.05138495979322248
IsolationForest,15,0.4710920664493091,0.06492766461968463
IsolationForest,16,0.48011209439528024,0.05718977819999375
IsolationForest,17,0.45912684365781714,0.07877573617849516
IsolationForest,18,0.35813320912901725,0.04327520609580064
IsolationForest,19,0.524131656575066,0.11410275327651068
IsolationForest,20,0.5498382238782799,0.07895799179303772
IsolationForest,21,0.5742120788697407,0.12811111661721192
IsolationForest,22,0.49319111939139887,0.051002008207454874
IsolationForest,23,0.49463903120633446,0.06667837320833449
IsolationForest,24,0.5832920353982302,0.09996692312066387
IsolationForest,25,0.4496292501164415,0.06526628293190792
IsolationForest,26,0.5020133519639807,0.134159998744953
IsolationForest,27,0.5607840397453812,0.08633622927953018
IsolationForest,28,0.47732029188014286,0.09964354150936247
IsolationForest,29,0.4830417637012886,0.06882021620349811
Mahalanobis,0,0.45562148734668534,0.07678681009121512
Mahalanobis,1,0.45194379754696484,0.1074811790413385
Mahalanobis,2,0.5343980748331003,0.06992658841939298
Mahalanobis,3,0.5849709672411116,0.15056132677029688
Mahalanobis,4,0.5154910728147803,0.09441447044308554
Mahalanobis,5,0.5400456450861667,0.09084807477896842
Mahalanobis,6,0.4893833255705636,0.07217518397867104
Mahalanobis,7,0.3957165036485018,0.0829746541382809
Mahalanobis,8,0.504715416860736,0.06294032066517345
Mahalanobis,9,0.41452848936500536,0.04378126735963238
Mahalanobis,10,0.5122002794597112,0.06916509670272486
Mahalanobis,11,0.4134485328365161,0.09190091107835188
Mahalanobis,12,0.6124303679552865,0.1260958625030233
Mahalanobis,13,0.48266790870982773,0.06881179724008714
Mahalanobis,14,0.5002878435025617,0.06186169582263314
Mahalanobis,15,0.4728256481912746,0.05848113887570985
Mahalanobis,16,0.47913972985561243,0.0930303460073201
Mahalanobis,17,0.6013674895202609,0.09960170218599255
Mahalanobis,18,0.3954075454122032,0.0469437152917941
Mahalanobis,19,0.524224809812141,0.0784076640652467
Mahalanobis,20,0.5353448222325725,0.0634350484798039
Mahalanobis,21,0.5723070951715572,0.11489501250848701
Mahalanobis,22,0.4622859804378202,0.053831562896881124
Mahalanobis,23,0.541901878590281,0.07662714129378395
Mahalanobis,24,0.5371386430678466,0.0810783895596243
Mahalanobis,25,0.42758236298711383,0.05144295978121991
Mahalanobis,26,0.5379509392951406,0.08861527080411485
Mahalanobis,27,0.4963102002794597,0.06815980360795094
Mahalanobis,28,0.4533718366713243,0.0849431431322086
Mahalanobis,29,0.5963005744449619,0.12388840639384913
OneClassSVM,0,0.4405297314081664,0.09046650902471551
OneClassSVM,1,0.45937835739791955,0.11212522948328685
OneClassSVM,2,0.5759934792734047,0.07028569737611766
OneClassSVM,3,0.6145607824871915,0.1381726973488279
OneClassSVM,4,0.4942477876106195,0.08026422431668263
OneClassSVM,5,0.5257841950007763,0.10370912427759382
OneClassSVM,6,0.5208303058531284,0.06433615479544817
OneClassSVM,7,0.432042229467474,0.10393798526059622
OneClassSVM,8,0.5040816643378357,0.07787581677942475
OneClassSVM,9,0.4024670082285359,0.04653651159250113
OneClassSVM,10,0.5276960099363454,0.06224612241144195
OneClassSVM,11,0.4393764943331781,0.11119577691154582
OneClassSVM,12,0.6078407079646017,0.14742724120720754
OneClassSVM,13,0.5012144077006676,0.07554934829309333
OneClassSVM,14,0.4706368576308027,0.05240546509374641
OneClassSVM,15,0.4696065828287533,0.060758631607219026
OneClassSVM,16,0.46497283030585324,0.07790511783307007
OneClassSVM,17,0.5295727371526161,0.10933213066928263
OneClassSVM,18,0.3832476323552243,0.05288658571858568
OneClassSVM,19,0.5294398385343891,0.08542841455855454
OneClassSVM,20,0.5992752678155565,0.07906000849153896
OneClassSVM,21,0.5527511256016147,0.110344990200048
OneClassSVM,22,0.5138553019717436,0.05576769580708399
OneClassSVM,23,0.5195044247787611,0.06554418355858632
OneClassSVM,24,0.5678192827200745,0.09571888832992209
OneClassSVM,25,0.44306443098897685,0.05277244341053144
OneClassSVM,26,0.5590330693991618,0.11982422790316838
OneClassSVM,27,0.6072190653625213,0.0942881626950513
OneClassSVM,28,0.47629436422915694,0.09127739715070947
OneClassSVM,29,0.5418965999068468,0.10810911467231678
LOF,0,0.5182043160999845,0.08754325797555086
LOF,1,0.4410777829529577,0.11326592566985776
LOF,2,0.5408458313926409,0.07490850302250684
LOF,3,0.6333120633442012,0.13968397241633831
LOF,4,0.5160881850644309,0.08940731802465805
LOF,5,0.4891339854059929,0.09072884313171498
LOF,6,0.5049076230399007,0.06078540853732486
LOF,7,0.43931377115354764,0.09134807229376438
LOF,8,0.4979233038348083,0.0650754332806006
LOF,9,0.42340568234746156,0.04864690616552135
LOF,10,0.4878031361589815,0.06538387528789999
LOF,11,0.39813569321533926,0.08745267712655196
LOF,12,0.6012440614811364,0.12461077784770096
LOF,13,0.5026356155876417,0.07392449890643076
LOF,14,0.4404685607824873,0.05153824631311754
LOF,15,0.4876839000155255,0.07089190542014986
LOF,16,0.48928411737307875,0.08726849430504453
LOF,17,0.5825244527247323,0.08944444680551167
LOF,18,0.4495770843036795,0.061327891448573944
LOF,19,0.5775475857786059,0.09080598993729318
LOF,20,0.5444685607824872,0.06933590980032185
