set,model_name,algo,imbalance,fold,n_features_used,prauc,roc_auc,prevalence,n_test,n_pos_test,recall_at_5,recall_at_10,recall_at_20,thr_F1max,f1_F1max,recall_F1max,precision_F1max,flag_rate_F1max,thr_Recall80,f1_Recall80,recall_Recall80,precision_Recall80,flag_rate_Recall80
S0 원본,LogReg,LogReg,class_weight|feat=S0,0,21,0.08184192291543717,0.6543859649122807,0.04201680672268908,119,5,0.0,0.0,0.4,0.952962307067555,0.0,0.0,0.0,0.008403361344537815,0.021614657225203115,0.08130081300813008,1.0,0.0423728813559322,0.9915966386554622
S0 원본,LogReg,LogReg,class_weight|feat=S0,1,21,0.03435471300527587,0.2920353982300885,0.0423728813559322,118,5,0.0,0.0,0.0,0.6659442997760018,0.0,0.0,0.0,0.23728813559322035,0.15223020711884652,0.0625,0.6,0.03296703296703297,0.7711864406779662
S0 원본,LogReg,LogReg,class_weight|feat=S0,2,21,0.03632703694402004,0.27433628318584075,0.0423728813559322,118,5,0.0,0.0,0.2,0.6971849905264381,0.0,0.0,0.0,0.1694915254237288,0.10031453663544818,0.07079646017699115,0.8,0.037037037037037035,0.9152542372881356
S0 원본,LogReg,LogReg,class_weight|feat=S0,3,21,0.0381752486419326,0.37345132743362836,0.0423728813559322,118,5,0.0,0.0,0.0,0.030654529632875797,0.08130081300813008,1.0,0.0423728813559322,1.0,0.048500924072116765,0.08130081300813008,1.0,0.0423728813559322,1.0
S0 원본,LogReg,LogReg,class_weight|feat=S0,4,21,0.05833676427640343,0.5274336283185841,0.0423728813559322,118,5,0.0,0.0,0.2,0.2576568133164339,0.07142857142857142,0.6,0.0379746835443038,0.6694915254237288,0.07384286887334388,0.08403361344537816,1.0,0.043859649122807015,0.9661016949152542
S0 원본,LogReg,LogReg,class_weight|feat=S0,5,21,0.07621607263595093,0.6175438596491228,0.04201680672268908,119,5,0.0,0.0,0.4,0.49183890549041803,0.12,0.6,0.06666666666666667,0.37815126050420167,0.10710612460316749,0.0847457627118644,1.0,0.04424778761061947,0.9495798319327731
S0 원본,LogReg,LogReg,class_weight|feat=S0,6,21,0.03719440621293093,0.31327433628318585,0.0423728813559322,118,5,0.0,0.0,0.2,0.3081869846059977,0.03333333333333333,0.2,0.01818181818181818,0.4661016949152542,0.24348856222533014,0.028985507246376812,0.2,0.015625,0.5423728813559322
S0 원본,LogReg,LogReg,class_weight|feat=S0,7,21,0.05305261909861395,0.5061946902654867,0.0423728813559322,118,5,0.0,0.0,0.2,0.25081199443581903,0.0851063829787234,0.8,0.0449438202247191,0.7542372881355932,0.13397331961989375,0.08771929824561403,1.0,0.045871559633027525,0.923728813559322
S0 원본,LogReg,LogReg,class_weight|feat=S0,8,21,0.06122878117279013,0.5964601769911504,0.0423728813559322,118,5,0.0,0.0,0.2,0.0058000617092249665,0.08130081300813008,1.0,0.0423728813559322,1.0,0.022992818728133944,0.08130081300813008,1.0,0.0423728813559322,1.0
S0 원본,LogReg,LogReg,class_weight|feat=S0,9,21,0.0646996996996997,0.5716814159292035,0.0423728813559322,118,5,0.0,0.2,0.2,0.015269053501401293,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.056489272509960796,0.0847457627118644,1.0,0.04424778761061947,0.9576271186440678
S0 원본,LogReg,LogReg,class_weight|feat=S0,10,21,0.042417953667953666,0.4298245614035088,0.04201680672268908,119,5,0.0,0.0,0.0,0.0025856222497200256,0.08064516129032258,1.0,0.04201680672268908,1.0,0.05387633331813984,0.08064516129032258,1.0,0.04201680672268908,1.0
S0 원본,LogReg,LogReg,class_weight|feat=S0,11,21,0.045557664857867705,0.4690265486725664,0.0423728813559322,118,5,0.0,0.0,0.0,0.0030923086485953113,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.033287421703139364,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136
S0 원본,LogReg,LogReg,class_weight|feat=S0,12,21,0.0511144883485309,0.49203539823008846,0.0423728813559322,118,5,0.0,0.0,0.2,0.6026927748050042,0.0625,0.2,0.037037037037037035,0.2288135593220339,0.1121834808363987,0.09174311926605505,1.0,0.04807692307692308,0.8813559322033898
S0 원본,LogReg,LogReg,class_weight|feat=S0,13,21,0.03668819484608958,0.2991150442477876,0.0423728813559322,118,5,0.0,0.0,0.2,0.03585448968950315,0.06666666666666667,0.8,0.034782608695652174,0.9745762711864406,0.1361107256898172,0.042105263157894736,0.4,0.022222222222222223,0.7627118644067796
S0 원본,LogReg,LogReg,class_weight|feat=S0,14,21,0.04690838780863554,0.4566371681415929,0.0423728813559322,118,5,0.0,0.0,0.2,0.6571866255353724,0.0,0.0,0.0,0.1440677966101695,0.027990216851542297,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406
S0 원본,LogReg,LogReg,class_weight|feat=S0,15,21,0.04319110981963766,0.443859649122807,0.04201680672268908,119,5,0.0,0.0,0.0,0.058192090611945343,0.08771929824561403,1.0,0.045871559633027525,0.9159663865546218,0.11206141013886825,0.09259259259259259,1.0,0.04854368932038835,0.865546218487395
S0 원본,LogReg,LogReg,class_weight|feat=S0,16,21,0.06438311688311689,0.4831858407079646,0.0423728813559322,118,5,0.0,0.2,0.2,0.00571371473919323,0.08130081300813008,1.0,0.0423728813559322,1.0,0.02774779180543591,0.08130081300813008,1.0,0.0423728813559322,1.0
S0 원본,LogReg,LogReg,class_weight|feat=S0,17,21,0.03193693481352283,0.2442477876106195,0.0423728813559322,118,5,0.0,0.0,0.0,0.8367661050892522,0.0,0.0,0.0,0.025423728813559324,0.04806470313104104,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272
S0 원본,LogReg,LogReg,class_weight|feat=S0,18,21,0.09734428362335339,0.6017699115044247,0.0423728813559322,118,5,0.0,0.2,0.6,0.00460828222015433,0.08130081300813008,1.0,0.0423728813559322,1.0,0.06304587688368736,0.08130081300813008,1.0,0.0423728813559322,1.0
S0 원본,LogReg,LogReg,class_weight|feat=S0,19,21,0.05534663527973894,0.5345132743362833,0.0423728813559322,118,5,0.0,0.0,0.2,0.011396058983722554,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.05790793059109579,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406
S0 원본,LogReg,LogReg,class_weight|feat=S0,20,21,0.04605691794070603,0.4649122807017544,0.04201680672268908,119,5,0.0,0.0,0.0,0.8295035792634008,0.0,0.0,0.0,0.01680672268907563,0.05228127965509894,0.08130081300813008,1.0,0.0423728813559322,0.9915966386554622
S0 원본,LogReg,LogReg,class_weight|feat=S0,21,21,0.06474413635801188,0.5876106194690265,0.0423728813559322,118,5,0.0,0.0,0.2,0.007006538804845696,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.03661594719980849,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136
S0 원본,LogReg,LogReg,class_weight|feat=S0,22,21,0.0616667745473366,0.5079646017699115,0.0423728813559322,118,5,0.0,0.0,0.4,0.004282330375698327,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136,0.07309172812034546,0.08403361344537816,1.0,0.043859649122807015,0.9661016949152542
S0 원본,LogReg,LogReg,class_weight|feat=S0,23,21,0.06453100889720609,0.5610619469026549,0.0423728813559322,118,5,0.0,0.0,0.2,0.5154212257048255,0.1276595744680851,0.6,0.07142857142857142,0.3559322033898305,0.12195634617803966,0.07339449541284404,0.8,0.038461538461538464,0.8813559322033898
S0 원본,LogReg,LogReg,class_weight|feat=S0,24,21,0.0461033171065352,0.4584070796460177,0.0423728813559322,118,5,0.0,0.0,0.0,0.03190623500827393,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272,0.05100198684763824,0.08333333333333333,1.0,0.043478260869565216,0.9745762711864406
S0 원본,LogReg,LogReg,class_weight|feat=S0,25,21,0.05983878615457563,0.4526315789473684,0.04201680672268908,119,5,0.0,0.2,0.2,0.5748099638948868,0.05128205128205128,0.2,0.029411764705882353,0.2857142857142857,0.1257114154386899,0.057692307692307696,0.6,0.030303030303030304,0.8319327731092437
S0 원본,LogReg,LogReg,class_weight|feat=S0,26,21,0.057888486836815106,0.5557522123893806,0.0423728813559322,118,5,0.0,0.0,0.2,0.006545318445015471,0.08130081300813008,1.0,0.0423728813559322,1.0,0.052996660182184706,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272
S0 원본,LogReg,LogReg,class_weight|feat=S0,27,21,0.05822451215396799,0.4955752212389381,0.0423728813559322,118,5,0.0,0.0,0.2,0.008857076155237328,0.08264462809917356,1.0,0.04310344827586207,0.9830508474576272,0.11819072184516012,0.08620689655172414,1.0,0.04504504504504504,0.940677966101695
S0 원본,LogReg,LogReg,class_weight|feat=S0,28,21,0.06861516927652875,0.3415929203539823,0.0423728813559322,118,5,0.2,0.2,0.2,0.7204414883798813,0.13333333333333333,0.2,0.1,0.0847457627118644,0.04805671018242733,0.08196721311475409,1.0,0.042735042735042736,0.9915254237288136
