feature,type,r,ci_low,ci_high,p,r_before_1891,r_after_1891,p_bonferroni
Barrel_Temperature_5,원 변수,0.09367360201236609,0.013119250463651805,0.17301988810362087,0.022759985313490418,0.10226779938825697,0.08112561658930158,0.9559193831665975
Barrel_Temp_front_rear,파생,-0.06960094322348723,-0.14941565864198791,0.011114919828316387,0.09093206767738657,-0.08837629623584256,-0.04293468932955426,1.0
Barrel_Temp_mean_d1,파생,0.04890222925704654,-0.03187696659437276,0.12904672045503776,0.23521555440066036,-0.002380779831948803,0.12122667095576527,1.0
Mold_Temp_mean_d1,파생,0.04604944159919213,-0.034733027313912604,0.12623407111081905,0.26369195244744004,0.09564951741198846,0.00277858402013827,1.0
Volatility_5,파생,0.04578362153650775,-0.03499908517179813,0.1259719254207786,0.26646130784762384,0.03791929261031117,0.058950021479344215,1.0
Hopper_Temperature_d1,파생,-0.040596177722382006,-0.12085394382400562,0.04018887841995161,0.3245112051168243,-0.044357053949968084,-0.03527820345288745,1.0
Clamp_Close_Time,원 변수,0.03807192182589361,-0.04271270199776747,0.11836194459521165,0.35552660074092846,-0.014208610292928546,0.11136541835760354,1.0
Process_Deviation_Index,파생,-0.03663011102922589,-0.11693810427524717,0.04415380337204418,0.37405195943608216,-0.08497869875493264,0.04089982613000782,1.0
Plasticizing_Time,원 변수,0.036349376929589464,-0.04443436024287823,0.1166608307926882,0.3777271076972103,0.029904583499043434,0.05013566714276612,1.0
Max_Screw_RPM,원 변수,0.02941597486931244,-0.05135934400568408,0.10980892196694497,0.47537727719698264,0.004451043527605813,0.06557613684741959,1.0
Barrel_Temperature_3,원 변수,-0.02885532669957589,-0.1092545293891375,0.051918972210075395,0.4838349817663458,-0.034114646891087244,-0.022215394740877283,1.0
Hopper_Temperature,원 변수,-0.028164413394683705,-0.10857125633835987,0.05260855878902136,0.49436881943703964,-0.06097963350136095,-0.0440390001531188,1.0
Average_Screw_RPM,원 변수,0.027776189770331302,-0.05299600312682191,0.10818729242544207,0.5003410204391195,-0.06148331489413995,0.15599718381917138,1.0
Cycle_Time_d1,파생,0.025815947584677954,-0.05495193917065601,0.10624819217592893,0.5310696110335986,0.08065839817527813,0.012669496790230626,1.0
Barrel_Temperature_1,원 변수,-0.0247609024878142,-0.10520427282339287,0.056004410079432757,0.5479949046049704,-0.016140877582492566,-0.0367394047326045,1.0
Deviation_from_recent5,파생,-0.021617732769995956,-0.1020931974823376,0.05913884728972895,0.5999402925926278,-0.06031818141956986,0.027391678213227723,1.0
Max_Switch_Over_Pressure,원 변수,0.021213182345859255,-0.05954215813948008,0.10169266347571386,0.606784338668076,0.018948771204712268,0.07788437485041665,1.0
Plasticizing_Position,원 변수,-0.020862628122614777,-0.1013455684883201,0.05989161691711053,0.6127428772489658,-0.0344070648897242,0.01894627060653434,1.0
Mold_Temperature_3,원 변수,-0.018566910981940438,-0.09907202085014047,0.06217967100112794,0.6523831464348946,0.022128433827330186,-0.050301321214811734,1.0
Mold_Temp_mean,파생,-0.01785988504054873,-0.09837165325373433,0.0628841660011233,0.664798342755625,0.026081555967993057,-0.05037087788515133,1.0
Mold_Temperature_4,원 변수,-0.016916753265766873,-0.09743727915585444,0.06382379640239745,0.6815028052816652,0.030562376529125586,-0.05033552846487784,1.0
Inj_minus_Switch_Pressure,파생,-0.0162060980822693,-0.09673312914495834,0.06453171871946396,0.6941939757767586,-0.04701175048519374,0.08042730521625438,1.0
Max_Back_Pressure,원 변수,0.015966765744183542,-0.06477011240029579,0.09649596945317791,0.6984876127594063,3.08807908633356e-07,0.06987831699694237,1.0
Back_Pressure_mean,파생,0.014526413419857127,-0.06620462109726512,0.09506849944071805,0.724526906534052,0.01561671283314367,0.04713876353768353,1.0
Cushion_Position,원 변수,-0.013007865870241456,-0.09356317479325556,0.06771664647170235,0.7523277931992705,0.018292462180354498,-0.08658101387565706,1.0
Average_Back_Pressure,원 변수,0.012656387693086664,-0.06806656220935488,0.09321470465072243,0.758809955840458,0.031390946142917694,0.019789603691386576,1.0
Change_from_prev,파생,-0.012335073261225874,-0.0928961228358036,0.06838643091449124,0.7647506635458751,-0.008819439688781959,-0.015788094761850665,1.0
Barrel_Temp_mean,파생,0.010772439409638825,-0.06994179725441838,0.09134654318199104,0.7938330661565536,-0.002804437370276059,0.0292513859392321,1.0
Barrel_Temperature_2,원 변수,-0.01056223061581763,-0.09113806068589154,0.07015099846466462,0.7977681903135,-0.05512528488567485,0.05281455655713729,1.0
Regime_after_1891,파생,-0.010503603645943882,-0.09107991391861985,0.07020934315457764,0.7988666109651936,,,1.0
Back_Pressure_spread,파생,0.009659825162692978,-0.07104899780855338,0.09024298580636705,0.8147184019968926,-0.06827238684479897,0.12846856060145773,1.0
Barrel_Temperature_4,원 변수,-0.009635208853804342,-0.09021856764073764,0.07107349209224913,0.8151820324517897,-0.01168322885736135,-0.006487421852915923,1.0
Barrel_Temperature_6,원 변수,0.0091588304048071,-0.07154748992392561,0.08974600460941451,0.8241668030239615,0.006743016016168534,0.013177469334711273,1.0
Max_Injection_Speed,원 변수,-0.008774506686500361,-0.08936473257577832,0.07192986648750502,0.8314322156977811,0.02390160922671833,-0.09918236238263596,1.0
Mold_Temp_diff,파생,-0.00718787116747709,-0.08779044550863556,0.07350821231923708,0.8615723424191764,-0.016665554074649813,-0.03437917528593475,1.0
Injection_Time,원 변수,-0.006115705377392396,-0.08672639614527258,0.07457454754113786,0.8820567509076551,0.020269807579066927,-0.02904082349977215,1.0
Barrel_Temp_zone_std,파생,0.00581140327673567,-0.0748771611951792,0.08642436413766144,0.8878856173181083,-0.009500839145519064,0.02701685860241175,1.0
Barrel_Temp_max_abs,파생,-0.00562018279662946,-0.08623456258014764,0.07506731306856891,0.891551537426394,-0.019703865005002222,0.014521575126372055,1.0
Filling_Time,원 변수,0.005489284378290091,-0.07519747659767059,0.08610463209967009,0.8940623516418621,-0.012711542960915914,0.07072115610317084,1.0
Max_Injection_Pressure,원 변수,0.004713179169636611,-0.07596916812324814,0.08533420952417317,0.9089700518316937,-0.0418912574259634,0.10285773122454826,1.0
Cycle_Time,원 변수,0.0017467544301336875,-0.07891783246666931,0.08238861618346209,0.9662000853641204,0.0009297439835426279,0.0019656268708411473,1.0
Screw_RPM_spread,파생,0.0011277835033367371,-0.07953291959352236,0.08177381419588785,0.9781734510948983,0.04596239735873911,-0.058379763493441664,1.0
