algo,set,f1_F1max_mean,f1_F1max_std,f1_Recall80_mean,f1_Recall80_std,flag_rate_F1max_mean,flag_rate_F1max_std,flag_rate_Recall80_mean,flag_rate_Recall80_std,n_features_used_mean,n_features_used_std,n_pos_test_mean,n_pos_test_std,n_test_mean,n_test_std,prauc_mean,prauc_std,precision_F1max_mean,precision_F1max_std,precision_Recall80_mean,precision_Recall80_std,prevalence_mean,prevalence_std,recall_F1max_mean,recall_F1max_std,recall_Recall80_mean,recall_Recall80_std,recall_at_10_mean,recall_at_10_std,recall_at_20_mean,recall_at_20_std,recall_at_5_mean,recall_at_5_std,roc_auc_mean,roc_auc_std,thr_F1max_mean,thr_F1max_std,thr_Recall80_mean,thr_Recall80_std
LogReg,S0 원본,0.06258013359013485,0.03898317037289583,0.07870526965865106,0.01183256571148085,0.6307420595356787,0.3752010212445463,0.9317860703603474,0.09017510428738951,21.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.05060332121791057,0.01409684612245006,0.03376796760261238,0.022187069049985506,0.041132829688579696,0.006083258481045834,0.042301666429283576,0.00014387587872841437,0.608,0.4198347585536433,0.9159999999999999,0.1811077027627483,0.024000000000000004,0.06565214453186319,0.14,0.1355261854357877,0.004,0.028284271247461894,0.44742586554882785,0.11174456936801819,0.30693195812634394,0.3196651402362587,0.07951495043017232,0.04640991859716578
RF,S0 원본,0.06725008725803136,0.06724808813284881,0.0784295624070356,0.020988644080378007,0.42580116792479705,0.3567757057897855,0.7974205953567868,0.10160416752533434,21.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.06908336178648516,0.04620087288047089,0.04309403761655366,0.05908433630483042,0.04128358543642632,0.010992480133881988,0.042301666429283576,0.00014387587872841437,0.424,0.4133289444577171,0.792,0.2423018862527336,0.09600000000000002,0.12282391577259817,0.19200000000000003,0.14546196641551834,0.05600000000000001,0.09930369826847296,0.47955767737928895,0.11255604080590935,0.12686666666666668,0.10434638374401632,0.03186666666666667,0.010082651632659844
HGB,S0 원본,0.06279079586711482,0.04349791165358264,0.07806592886956934,0.016548319188688623,0.40399943028058677,0.3084645268389159,0.8916479134026492,0.0828546724121564,21.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.07265471215802152,0.049341472240797025,0.03555487474755498,0.025909394394248806,0.040886691768522096,0.008635591996536959,0.042301666429283576,0.00014387587872841437,0.396,0.33682794008883793,0.868,0.2084343972553082,0.10800000000000001,0.12910998317365716,0.22,0.16288220358559116,0.044000000000000004,0.0929340340988034,0.4896897997205403,0.12224507454368688,0.18506291749299614,0.221850947843954,0.004091578871924175,0.0030682543197353336
LogReg,S1 정리,0.06550816455967697,0.031863199464557845,0.07698094032434744,0.011704052697793618,0.7511622276029055,0.34558362004504883,0.9358524426719841,0.0947060745667348,22.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.049479991006896575,0.01375985519778024,0.03445855595783131,0.01680171106509935,0.040225987135571774,0.005995748678347454,0.042301666429283576,0.00014387587872841437,0.72,0.38756171332144396,0.9,0.18182745801939793,0.016,0.05480950312357395,0.11200000000000002,0.14090089149643376,0.004,0.028284271247461894,0.44183946592144074,0.11641291827705595,0.20793828533344683,0.3001890832452692,0.06444228435749128,0.044264717185263903
RF,S1 정리,0.0567220557577772,0.03844041426715777,0.07395666026259104,0.025000242344312498,0.5725452214784219,0.3465137749760438,0.8007377866400798,0.11026920672736505,22.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.05828682027312691,0.03491787253173955,0.03042569452616236,0.020740378166393545,0.03890799097207273,0.01312236541819493,0.042301666429283576,0.00014387587872841437,0.524,0.40383872311321783,0.7559999999999999,0.27786356951803903,0.05600000000000001,0.09071147352221452,0.124,0.13334013588089183,0.032,0.0740656079818041,0.4389035863996274,0.1141801189983683,0.08900000000000001,0.08325370345108975,0.03386666666666667,0.011514754411666703
HGB,S1 정리,0.05898232004022726,0.03613908067986049,0.07680194065340311,0.014000944115905302,0.5900185158809286,0.3563853694041193,0.9056872240421592,0.0828711543152541,22.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.06351623672939433,0.041198298187773735,0.031964459488453986,0.019997632870523172,0.040203706901608266,0.007306237823349119,0.042301666429283576,0.00014387587872841437,0.536,0.40089695352663723,0.8640000000000001,0.1826784841502375,0.07200000000000001,0.11255837487766976,0.16,0.134011878852098,0.04,0.09035079029052513,0.44944822232572584,0.12340606818014235,0.11903437221081001,0.2161322786484184,0.0036912414900420955,0.0028702620429993464
LogReg,S2 정리+공정 파생,0.05641428140699327,0.035025365556946464,0.0781739652359806,0.010925689742115042,0.6692223330009971,0.3733096672523591,0.9421036889332004,0.06219867807811104,29.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.05056430785756355,0.014327747337565202,0.029752176065741046,0.01840720095360777,0.04083557007358129,0.005632307177888326,0.042301666429283576,0.00014387587872841437,0.604,0.4227992238326242,0.9159999999999999,0.1620783383278038,0.036000000000000004,0.07761758689832074,0.136,0.13055611038623843,0.004,0.028284271247461898,0.4449492314857941,0.11210225246426153,0.25551311787358044,0.32461226214527794,0.03760398300078396,0.024246660213644532
RF,S2 정리+공정 파생,0.05822668530944572,0.03469423236405051,0.06860819142136668,0.022274384718354166,0.7330864549209514,0.3759733939009745,0.8642301666429283,0.08092322715259707,29.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.0697082534335197,0.068214417420342,0.03044510242443861,0.01811139869469222,0.03596311936943664,0.011652503845492268,0.042301666429283576,0.00014387587872841437,0.6759999999999999,0.419698628512782,0.748,0.25812510809406247,0.06,0.09258200997725514,0.10400000000000001,0.11598733217248249,0.032,0.07406560798180412,0.35690110231330535,0.11413941149095674,0.0836,0.13629672844914892,0.027733333333333336,0.008868911791865003
HGB,S2 정리+공정 파생,0.06350241477449484,0.028351398903155366,0.07968672776691343,0.008861929774065538,0.7737259649622561,0.3044519124647322,0.9504030764848312,0.051873444286650305,29.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.05438675873587391,0.038135182638581004,0.03336330526763676,0.01476595055858799,0.04162066718517346,0.0046296485586283095,0.042301666429283576,0.00014387587872841437,0.7,0.3708787138784906,0.9359999999999999,0.1173865061952808,0.04,0.09035079029052513,0.08,0.12777531299998798,0.032,0.07406560798180412,0.37756528489365004,0.1128501729379767,0.047082110480819915,0.1311963449482576,0.0018561734818237096,0.0011646696340324573
LogReg,S3 S2+시간 파생,0.07153900098602999,0.031034322830532916,0.07910268943879767,0.011590782810389295,0.7348810710724968,0.29589092243277604,0.9424740065517733,0.05270964301069398,37.0,0.0,5.0,0.0,118.2,0.40406101782088416,0.05351200199427478,0.014987774482494103,0.03774897310342332,0.01640901235094293,0.041324907263948864,0.0060346839411073,0.042301666429283576,0.00014387587872841437,0.732,0.35366304729277015,0.924,0.150590673749765,0.044000000000000004,0.08369039151929608,0.136,0.13055611038623843,0.004,0.028284271247461894,0.475883247942866,0.10533624461372997,0.16344363087277447,0.2536549850597699,0.011997326811706826,0.009091439209207231
