model,product,f1_mean,f1_std,recall_mean,recall_std,precision_mean,precision_std,prauc_mean,prauc_std,threshold
LogReg|class_weight|feat=S0|thr=F1max,RG3,0.06258013359013485,0.03898317037289583,0.6080000000000001,0.4198347585536432,0.03376796760261238,0.022187069049985506,0.05060332121791057,0.014096846122450057,0.30693195812634394
LogReg|class_weight|feat=S0|thr=Recall80,RG3,0.07870526965865107,0.011832565711480846,0.9159999999999999,0.18110770276274835,0.041132829688579696,0.006083258481045834,0.05060332121791057,0.014096846122450057,0.07951495043017232
RF|class_weight|feat=S0|thr=F1max,RG3,0.06725008725803136,0.06724808813284884,0.42400000000000004,0.4133289444577171,0.04309403761655365,0.059084336304830405,0.06908336178648516,0.04620087288047089,0.12686666666666666
RF|class_weight|feat=S0|thr=Recall80,RG3,0.0784295624070356,0.020988644080378007,0.7919999999999999,0.2423018862527336,0.04128358543642632,0.01099248013388199,0.06908336178648516,0.04620087288047089,0.031866666666666675
HGB|class_weight|feat=S0|thr=F1max,RG3,0.06279079586711481,0.04349791165358265,0.396,0.33682794008883793,0.03555487474755499,0.025909394394248813,0.07265471215802152,0.049341472240797025,0.18506291749299614
HGB|class_weight|feat=S0|thr=Recall80,RG3,0.07806592886956934,0.016548319188688623,0.868,0.2084343972553083,0.040886691768522096,0.008635591996536957,0.07265471215802152,0.049341472240797025,0.004091578871924174
LogReg|class_weight|feat=S1|thr=F1max,RG3,0.06550816455967698,0.03186319946455784,0.72,0.3875617133214439,0.03445855595783131,0.016801711065099346,0.04947999100689657,0.013759855197780241,0.20793828533344683
LogReg|class_weight|feat=S1|thr=Recall80,RG3,0.07698094032434744,0.011704052697793618,0.9,0.18182745801939793,0.04022598713557177,0.005995748678347454,0.04947999100689657,0.013759855197780241,0.06444228435749128
RF|class_weight|feat=S1|thr=F1max,RG3,0.056722055757777196,0.03844041426715776,0.524,0.4038387231132179,0.03042569452616236,0.020740378166393545,0.058286820273126906,0.03491787253173955,0.08899999999999998
RF|class_weight|feat=S1|thr=Recall80,RG3,0.07395666026259103,0.025000242344312498,0.7559999999999999,0.2778635695180391,0.03890799097207273,0.01312236541819493,0.058286820273126906,0.03491787253173955,0.03386666666666667
HGB|class_weight|feat=S1|thr=F1max,RG3,0.05898232004022726,0.03613908067986049,0.536,0.40089695352663723,0.031964459488453986,0.019997632870523172,0.06351623672939433,0.04119829818777373,0.11903437221081001
HGB|class_weight|feat=S1|thr=Recall80,RG3,0.07680194065340312,0.014000944115905302,0.8639999999999999,0.1826784841502375,0.040203706901608266,0.00730623782334912,0.06351623672939433,0.04119829818777373,0.0036912414900420946
LogReg|class_weight|feat=S2|thr=F1max,RG3,0.05641428140699328,0.03502536555694647,0.6040000000000001,0.4227992238326241,0.02975217606574105,0.01840720095360777,0.05056430785756355,0.014327747337565202,0.25551311787358044
LogReg|class_weight|feat=S2|thr=Recall80,RG3,0.0781739652359806,0.01092568974211504,0.9159999999999999,0.1620783383278038,0.04083557007358129,0.005632307177888324,0.05056430785756355,0.014327747337565202,0.03760398300078396
RF|class_weight|feat=S2|thr=F1max,RG3,0.05822668530944572,0.03469423236405052,0.6759999999999999,0.419698628512782,0.030445102424438607,0.01811139869469222,0.06970825343351972,0.068214417420342,0.0836
RF|class_weight|feat=S2|thr=Recall80,RG3,0.06860819142136666,0.022274384718354166,0.748,0.25812510809406247,0.03596311936943665,0.01165250384549227,0.06970825343351972,0.068214417420342,0.027733333333333336
HGB|class_weight|feat=S2|thr=F1max,RG3,0.06350241477449484,0.028351398903155366,0.7000000000000002,0.3708787138784906,0.03336330526763676,0.014765950558587988,0.05438675873587391,0.038135182638581004,0.047082110480819915
HGB|class_weight|feat=S2|thr=Recall80,RG3,0.07968672776691343,0.008861929774065537,0.9359999999999999,0.11738650619528078,0.04162066718517346,0.004629648558628309,0.05438675873587391,0.038135182638581004,0.0018561734818237096
LogReg|class_weight|feat=S3|thr=F1max,RG3,0.07153900098602999,0.03103432283053292,0.732,0.35366304729277015,0.03774897310342332,0.016409012350942935,0.05351200199427478,0.014987774482494106,0.1634436308727745
LogReg|class_weight|feat=S3|thr=Recall80,RG3,0.07910268943879768,0.011590782810389296,0.9239999999999999,0.150590673749765,0.041324907263948864,0.006034683941107299,0.05351200199427478,0.014987774482494106,0.011997326811706822
RF|class_weight|feat=S3|thr=F1max,RG3,0.04967587315498845,0.038888068641333165,0.5720000000000001,0.45894288471287087,0.02600315414439566,0.020354847615412234,0.059951866411587194,0.044351560001560784,0.08686666666666668
RF|class_weight|feat=S3|thr=Recall80,RG3,0.07146152129647099,0.02069065254144958,0.7839999999999999,0.2613622085949548,0.037450476422443785,0.010770316717791441,0.059951866411587194,0.044351560001560784,0.03066666666666667
HGB|class_weight|feat=S3|thr=F1max,RG3,0.05856078459548904,0.03303396366539431,0.64,0.4140393356054125,0.03094550979036943,0.01750177838360776,0.06009007421658606,0.039426869398340544,0.0687582608789914
HGB|class_weight|feat=S3|thr=Recall80,RG3,0.07801551526522474,0.008319832717741784,0.9199999999999998,0.11428571428571428,0.04074040144414171,0.004332020821853883,0.06009007421658606,0.039426869398340544,0.0012874941755066035
