candidate,fold,inner_prauc,prauc,roc_auc,recall_at_20
LogReg L2 C=0.01 [S0],0,0.03657798037721688,0.08207613188816196,0.6736842105263158,0.4
LogReg L2 C=0.1 [S0],0,0.04358466266387758,0.07568055292624612,0.656140350877193,0.4
LogReg L2 C=1 [S0],0,0.04536652032972703,0.08184192291543717,0.6543859649122807,0.4
LogReg L1 C=0.05 [S0],0,0.055571729585379294,0.06834224598930481,0.65,0.2
LogReg L1 C=0.3 [S0],0,0.050145426759014136,0.0740452016960361,0.6543859649122807,0.4
RF leaf=1 [S0],0,0.0347153902540832,0.11034672874295516,0.6728070175438596,0.4
RF leaf=5 [S0],0,0.034754998307910984,0.07037925078651551,0.6157894736842106,0.2
RF leaf=20 [S0],0,0.030493420272070366,0.07611294446147107,0.6473684210526316,0.2
RF 균형배깅 (subsample 30%) [S0],0,0.0322533773619923,0.1466187891745701,0.6614035087719298,0.4
ExtraTrees leaf=5 [S0],0,0.032180040758147135,0.05472893316728934,0.5719298245614035,0.0
HGB d=2 lr=.05 it=100 [S0],0,0.043824002922263045,0.04674240933831726,0.47368421052631576,0.2
HGB d=3 lr=.05 it=200 [S0],0,0.04200525521804237,0.08847331240188383,0.5929824561403509,0.4
HGB d=2 강한 규제 [S0],0,0.038376524753200345,0.04686971801522885,0.47456140350877196,0.0
SVM RBF [S0],0,0.046996078932343484,0.03610901864196035,0.30526315789473685,0.0
kNN k=15 [S0],0,0.041687370027225196,0.04947478991596639,0.4456140350877193,0.2
Naive Bayes [S0],0,0.03330858592514113,0.04411477262028058,0.4403508771929825,0.0
LogReg L2 C=0.1 [S2],0,0.031175089676556276,0.08450847963305219,0.612280701754386,0.4
RF leaf=5 [S2],0,0.029072155014989783,0.04561709657720783,0.48070175438596496,0.0
HGB d=2 강한 규제 [S2],0,0.030734540552345653,0.05714045916133202,0.5263157894736842,0.2
LogReg L2 C=0.1 [S3],0,0.03305881347160226,0.09173234811165845,0.6245614035087719,0.4
RF leaf=5 [S3],0,0.03185537865334206,0.06152763781097723,0.5614035087719299,0.2
HGB d=2 강한 규제 [S3],0,0.03658028377953705,0.07600946443264574,0.5842105263157895,0.4
LogReg L2 C=0.01 [S0],1,0.0503487569240257,0.03099529847920585,0.21946902654867254,0.0
LogReg L2 C=0.1 [S0],1,0.04829284728473939,0.033971908962421034,0.2814159292035398,0.0
LogReg L2 C=1 [S0],1,0.04710427242162484,0.03435471300527587,0.2920353982300885,0.0
LogReg L1 C=0.05 [S0],1,0.040113930273719935,0.030627513493834167,0.20530973451327433,0.0
LogReg L1 C=0.3 [S0],1,0.051042909248890524,0.03254062852624474,0.2566371681415929,0.0
RF leaf=1 [S0],1,0.05448267841559862,0.038233443096066945,0.24690265486725665,0.2
RF leaf=5 [S0],1,0.04622903307958115,0.03319294581229403,0.2353982300884956,0.0
RF leaf=20 [S0],1,0.04580369633541149,0.031168908423072527,0.1946902654867257,0.0
RF 균형배깅 (subsample 30%) [S0],1,0.037753268792521555,0.03144323453755641,0.2265486725663717,0.0
ExtraTrees leaf=5 [S0],1,0.04804606813120095,0.030728310988996844,0.20707964601769915,0.0
HGB d=2 lr=.05 it=100 [S0],1,0.05882103965747146,0.03341453335258645,0.20530973451327433,0.2
HGB d=3 lr=.05 it=200 [S0],1,0.06268337718628873,0.03981924422192977,0.23893805309734514,0.2
HGB d=2 강한 규제 [S0],1,0.05061179965358738,0.03769498991243968,0.24955752212389382,0.2
SVM RBF [S0],1,0.06064143860401061,0.03517173468709471,0.30442477876106194,0.0
kNN k=15 [S0],1,0.05806750030311354,0.06039009954264192,0.5699115044247788,0.4
Naive Bayes [S0],1,0.04650564766199296,0.028328991120753134,0.12743362831858407,0.0
LogReg L2 C=0.1 [S2],1,0.0482711946486567,0.033313743844026425,0.26371681415929205,0.0
RF leaf=5 [S2],1,0.05026131753364635,0.02780036402977669,0.11327433628318584,0.0
HGB d=2 강한 규제 [S2],1,0.04267058578599074,0.029325429685912556,0.17345132743362832,0.0
LogReg L2 C=0.1 [S3],1,0.0491602402576304,0.03674886555412679,0.3398230088495575,0.0
RF leaf=5 [S3],1,0.04848966001275845,0.029082602919910074,0.1398230088495575,0.0
HGB d=2 강한 규제 [S3],1,0.04136389982900209,0.032355622760928585,0.25486725663716814,0.0
LogReg L2 C=0.01 [S0],2,0.037634093607472996,0.03254306732209298,0.26017699115044246,0.0
LogReg L2 C=0.1 [S0],2,0.040381908592877144,0.03313148326826881,0.2601769911504425,0.0
LogReg L2 C=1 [S0],2,0.0410638214174187,0.03632703694402004,0.27433628318584075,0.2
LogReg L1 C=0.05 [S0],2,0.06375632065813579,0.03568387636293886,0.35132743362831864,0.0
