candidate,prauc_mean,prauc_std,roc_auc_mean,recall_at_20_mean,inner_prauc_mean,n_selected
HGB d=3 lr=.05 it=200 [S0],0.07265471215802152,0.049341472240797025,0.4896897997205403,0.22,0.05374080177332028,19.0
RF leaf=1 [S0],0.06918203996246493,0.046922620811615016,0.47669554417015997,0.19200000000000003,0.05067411398891009,4.0
LogReg L1 C=0.05 [S0],0.06890098740487356,0.0362904186289547,0.5041953112870672,0.2,0.04460142452222095,3.0
RF 균형배깅 (subsample 30%) [S0],0.06607520227085638,0.03224143933760792,0.4548669461263779,0.188,0.044599368334667766,2.0
kNN k=15 [S0],0.06408349067189902,0.033851022010428146,0.5057708430367955,0.168,0.04522668204170571,3.0
HGB d=2 강한 규제 [S0],0.06351477835184044,0.029174982021873075,0.46377022201521506,0.172,0.04597598534575318,3.0
RF leaf=5 [S2],0.06261285049418258,0.05608846602006169,0.37101009160068316,0.09200000000000001,0.03971645203444628,1.0
HGB d=2 강한 규제 [S3],0.0619001702365758,0.03547660162446241,0.4432911038658594,0.128,0.04151573137709825,0.0
HGB d=2 lr=.05 it=100 [S0],0.058560648421068374,0.024144260788980652,0.46051311908088804,0.196,0.0486905847309841,1.0
HGB d=2 강한 규제 [S2],0.05743173098817071,0.03904703698510701,0.3955711845986648,0.124,0.04019478050836576,0.0
RF leaf=20 [S0],0.05624162252410305,0.040772858385379425,0.39998975314392177,0.124,0.04334542242168697,3.0
RF leaf=5 [S0],0.055728393046635766,0.023375989016798434,0.4359760906691508,0.128,0.04504974462281958,0.0
RF leaf=5 [S3],0.05400099744550995,0.026755686762577755,0.3945744449619625,0.09600000000000002,0.04057338786845084,0.0
SVM RBF [S0],0.053909941463642974,0.039018267531936004,0.4058612016767583,0.11200000000000002,0.04684862365521716,8.0
LogReg L2 C=0.1 [S3],0.053113278904697914,0.013832375782644598,0.47727775190187866,0.14,0.04330412513553857,1.0
LogReg L1 C=0.3 [S0],0.052620636553550565,0.014986701653127084,0.46018102779071574,0.15600000000000003,0.042537120080369285,1.0
LogReg L2 C=0.1 [S2],0.052076497995712616,0.018982858062217216,0.44692842726284737,0.12,0.04290600207810172,0.0
LogReg L2 C=0.1 [S0],0.05140066481961537,0.01461552845036434,0.45332277596646486,0.15600000000000003,0.04235862126171152,0.0
Naive Bayes [S0],0.051362744246717336,0.019331964310434168,0.4131622418879056,0.14,0.04027195554742843,0.0
LogReg L2 C=0.01 [S0],0.05124456657224985,0.015835028849754535,0.4446915075298867,0.14,0.04141466649027949,0.0
LogReg L2 C=1 [S0],0.05064565011196517,0.014136274464979295,0.44767272162707655,0.14,0.04121110568413066,0.0
ExtraTrees leaf=5 [S0],0.04933479286074725,0.012729456520075273,0.4426579723645397,0.1,0.042139570287916144,1.0
