feature,bin,rule,n_normal,fp,fp_rate,n_defect,fn,fn_rate
Injection_Time,= -8.63,F1max,3,0,0.0,0,0,
Injection_Time,= -0.03,F1max,558,250,0.44802867383512546,25,14,0.56
Injection_Time,= 8.57,F1max,5,3,0.6,0,0,
Injection_Time,= -8.63,Recall80,3,3,1.0,0,0,
Injection_Time,= -0.03,Recall80,558,535,0.9587813620071685,25,1,0.04
Injection_Time,= 8.57,Recall80,5,5,1.0,0,0,
Filling_Time,= -1.19,F1max,234,95,0.405982905982906,10,5,0.5
Filling_Time,= 0.84,F1max,332,158,0.4759036144578313,15,9,0.6
Filling_Time,= -1.19,Recall80,234,225,0.9615384615384616,10,0,0.0
Filling_Time,= 0.84,Recall80,332,318,0.9578313253012049,15,1,0.06666666666666667
Plasticizing_Time,"Q1 [-2.74, -0.72]",F1max,145,51,0.35172413793103446,3,2,0.6666666666666666
Plasticizing_Time,"Q2 [-0.72, -0.04]",F1max,141,69,0.48936170212765956,7,4,0.5714285714285714
Plasticizing_Time,"Q3 [-0.04, 0.63]",F1max,140,74,0.5285714285714286,7,4,0.5714285714285714
Plasticizing_Time,"Q4 [0.63, 3.77]",F1max,140,59,0.42142857142857143,8,4,0.5
Plasticizing_Time,"Q1 [-2.74, -0.72]",Recall80,145,135,0.9310344827586207,3,1,0.3333333333333333
Plasticizing_Time,"Q2 [-0.72, -0.04]",Recall80,141,137,0.9716312056737588,7,0,0.0
Plasticizing_Time,"Q3 [-0.04, 0.63]",Recall80,140,137,0.9785714285714285,7,0,0.0
Plasticizing_Time,"Q4 [0.63, 3.77]",Recall80,140,134,0.9571428571428572,8,0,0.0
Cycle_Time,"Q1 [-1.40, -0.30]",F1max,143,61,0.42657342657342656,5,4,0.8
Cycle_Time,"Q2 [-0.30, 0.25]",F1max,142,64,0.4507042253521127,6,3,0.5
Cycle_Time,"Q3 [0.25, 0.25]",F1max,140,63,0.45,7,2,0.2857142857142857
Cycle_Time,"Q4 [0.25, 11.76]",F1max,141,65,0.46099290780141844,7,5,0.7142857142857143
Cycle_Time,"Q1 [-1.40, -0.30]",Recall80,143,135,0.9440559440559441,5,0,0.0
Cycle_Time,"Q2 [-0.30, 0.25]",Recall80,142,137,0.9647887323943662,6,0,0.0
Cycle_Time,"Q3 [0.25, 0.25]",Recall80,140,135,0.9642857142857143,7,0,0.0
Cycle_Time,"Q4 [0.25, 11.76]",Recall80,141,136,0.9645390070921985,7,1,0.14285714285714285
Clamp_Close_Time,= -1.81,F1max,86,32,0.37209302325581395,2,1,0.5
Clamp_Close_Time,= -0.39,F1max,243,130,0.5349794238683128,11,7,0.6363636363636364
Clamp_Close_Time,= 1.03,F1max,237,91,0.38396624472573837,12,6,0.5
Clamp_Close_Time,= -1.81,Recall80,86,81,0.9418604651162791,2,0,0.0
Clamp_Close_Time,= -0.39,Recall80,243,236,0.9711934156378601,11,0,0.0
Clamp_Close_Time,= 1.03,Recall80,237,226,0.9535864978902954,12,1,0.08333333333333333
Cushion_Position,"Q1 [-1.91, -1.11]",F1max,141,64,0.45390070921985815,7,7,1.0
