feature,shap_mean_abs,null_mean,null_p95,ratio_to_null,perm_p,fold_mean_abs_mean,fold_mean_abs_std,fold_rank_mean,fold_rank_std,oof_shap_defect_mean,oof_shap_normal_mean,perm_p_bonferroni,fold_rank_stability_spearman
Barrel_Temperature_3,0.6072088754331496,0.3009625378360129,0.64327819108305,2.0175563370747587,0.0967741935483871,0.5969073955143889,0.15248287040986308,2.2,1.1065666703449761,0.1791392785210917,-0.0060166969806783495,1.0,0.7083114239181325
Barrel_Temperature_5,0.5504519999495128,0.32646082494656314,0.6048865073878343,1.6861196134011291,0.12903225806451613,0.5698176333384771,0.17923994991453915,2.92,1.8608753700495753,0.151247146481794,0.0015647007736730723,1.0,0.7083114239181325
Plasticizing_Time,0.4841811289880058,0.2698580583865711,0.5034644194869634,1.79420667251084,0.0967741935483871,0.4418629345664798,0.11446213772869952,4.54,1.8758399479177539,0.03615077870915589,-0.01159214028688474,1.0,0.7083114239181325
Hopper_Temperature,0.43570928083020266,0.4260564790301055,0.6829771559394655,1.0226561554047275,0.4838709677419355,0.4586039188902894,0.18403147254605662,5.06,3.986763814710588,0.03567551971472892,-0.022776112963236207,1.0,0.7083114239181325
Mold_Temperature_4,0.3649430103477291,0.28175199742086876,0.7401942118611476,1.295263258782131,0.2903225806451613,0.33017010336472397,0.12131674383083013,7.22,3.327620955651319,0.11540221619676266,0.00340294600060133,1.0,0.7083114239181325
Barrel_Temperature_4,0.34157317952621186,0.3427436790273747,0.5354624477008786,0.996584912945778,0.4838709677419355,0.33022877252728855,0.11469329589789996,7.4,3.1815796359028696,0.014593545327112411,-0.016187164751564502,1.0,0.7083114239181325
Average_Back_Pressure,0.32025569585972385,0.25527876746383255,0.55215008280257,1.2545332267208518,0.25806451612903225,0.31133771810900257,0.11557134794257486,7.66,3.4794440090688195,-0.006905402443582398,-0.013970993020672094,1.0,0.7083114239181325
Mold_Temperature_3,0.278911233766505,0.19793110910870051,0.4733381829582872,1.4091328797300455,0.25806451612903225,0.2261716452640184,0.10532297763251389,10.5,3.85581987893308,-0.0020043312756251263,0.00879078134153379,1.0,0.7083114239181325
Max_Injection_Speed,0.20064346145542733,0.10185414613577423,0.38911385628203965,1.9699096116123183,0.16129032258064516,0.19868097038273227,0.11871990681415782,11.82,4.596760172298818,0.016637737326659498,0.014854117841875583,1.0,0.7083114239181325
Barrel_Temperature_2,0.16532033471553415,0.33375432719657433,0.6865737186055246,0.49533540464979176,0.8064516129032258,0.2331346428392892,0.10990640337374322,10.26,3.8534903341129634,-0.05758458592169543,-0.00401962300846737,1.0,0.7083114239181325
Cycle_Time,0.15751624794008862,0.13938685915987933,0.38261388338393976,1.1300652650434897,0.3225806451612903,0.1468691746785193,0.11035632768290479,14.49,4.7299415365071384,-0.031578707617012876,-0.0006806751361922695,1.0,0.7083114239181325
Barrel_Temperature_6,0.13956810269903883,0.25349877515943303,0.4971668944670747,0.5505671678739286,0.6774193548387096,0.3094578981353709,0.17163865235151926,8.52,4.743373465871594,-0.13215713204638482,0.003670476101469593,1.0,0.7083114239181325
Clamp_Close_Time,0.11047649990050319,0.08952624967505256,0.3244031663884829,1.2340123740410478,0.22580645161290322,0.10460030386271699,0.08877179647529963,16.08,3.9010202747067955,-0.007265963630335975,0.0014792032062923798,1.0,0.7083114239181325
Max_Switch_Over_Pressure,0.09512379454995988,0.2128904761255534,0.49952250931943887,0.4468203382374892,0.8064516129032258,0.16068465037210558,0.1103842758609992,13.66,4.5517881662269915,-0.05885700352497099,0.013044187977995772,1.0,0.7083114239181325
Plasticizing_Position,0.09421748714500987,0.1471445687934807,0.2695951893752289,0.6403055710282133,0.6451612903225806,0.18841527467628993,0.11536537864767324,12.34,4.269540911132805,-0.034886539941815585,-0.0027398580272529976,1.0,0.7083114239181325
Barrel_Temperature_1,0.08350720468958164,0.32936099962505494,0.5520025671881695,0.25354308732559827,1.0,0.17966159705591717,0.09175208791972707,12.38,3.82734521941403,-0.10724686221745561,-0.001298054912349456,1.0,0.7083114239181325
Max_Back_Pressure,0.08285741901560244,0.20316691540680273,0.483842734078404,0.4078292907567965,0.7419354838709677,0.09558429832392401,0.0701789603768042,16.64,3.141298314716515,-0.031810957825682246,-0.006427142027408969,1.0,0.7083114239181325
Max_Screw_RPM,0.08106365857652267,0.17454352209566537,0.4952982917393994,0.4644323524770663,0.6774193548387096,0.1279423374496565,0.09260812803411847,14.92,3.9218904229715443,-0.06496689753966782,0.0013975398055834794,1.0,0.7083114239181325
Average_Screw_RPM,0.02902755677094775,0.11833387591960333,0.4468914962645728,0.24530217188752634,0.7741935483870968,0.07793147156289312,0.07354656031599033,17.34,4.117459093634702,-0.01837787567681681,0.001803005137414982,1.0,0.7083114239181325
Max_Injection_Pressure,0.024844546467311147,0.17922100428098905,0.4245166346077078,0.13862519388831782,0.967741935483871,0.0823709641735396,0.08296442988970723,17.34,3.9102690548902967,-0.05456666534103689,0.0025364392565443146,1.0,0.7083114239181325
Cushion_Position,0.015400414875338457,0.16289197111529471,0.4789380244823305,0.09454373208141773,0.9032258064516129,0.05576633434626022,0.07627409028231641,18.54,3.529525608408042,-0.06007086756067838,-0.007546778812734354,1.0,0.7083114239181325
Injection_Time,0.0,0.0,0.0,,1.0,0.0,0.0,22.7,0.3030457633656632,0.0,0.0,1.0,0.7083114239181325
Filling_Time,0.0,0.022212240529824453,0.10625616212940475,0.0,1.0,0.010532839085149681,0.02206133129574725,21.47,1.7624484360672568,-0.000840473615399731,0.0006099883807866623,1.0,0.7083114239181325
