feature_a,feature_b,mean_abs_interaction,share_of_total_abs_shap
Barrel_Temperature_4,Barrel_Temperature_5,0.28355624686101694,0.06081242556618696
Cycle_Time,Average_Back_Pressure,0.17795239038380758,0.03816426763415489
Barrel_Temperature_4,Mold_Temperature_4,0.17750202974497778,0.03806768177815645
Barrel_Temperature_3,Barrel_Temperature_5,0.1685283410903262,0.036143154354034444
Barrel_Temperature_2,Hopper_Temperature,0.13710832298750514,0.02940471168765728
Plasticizing_Position,Hopper_Temperature,0.13584339504664875,0.029133430990788616
Barrel_Temperature_5,Mold_Temperature_4,0.13294481322797658,0.028511791393541788
Average_Back_Pressure,Mold_Temperature_3,0.11530125363239832,0.024727894313134373
Average_Back_Pressure,Barrel_Temperature_4,0.09791397199243343,0.020998959464286013
Barrel_Temperature_2,Barrel_Temperature_3,0.0918844167611436,0.019705840787624492
Plasticizing_Time,Average_Back_Pressure,0.08240541895481603,0.017672943064789687
Barrel_Temperature_5,Mold_Temperature_3,0.08220145262478303,0.017629199760240945
Max_Injection_Speed,Hopper_Temperature,0.07166454427823099,0.015369418987939705
Average_Back_Pressure,Barrel_Temperature_6,0.06888700671251993,0.014773738947940863
Average_Back_Pressure,Barrel_Temperature_3,0.06284075370599526,0.013477039210291157
Max_Back_Pressure,Average_Back_Pressure,0.057452421074578756,0.01232143928716733
Plasticizing_Time,Max_Injection_Speed,0.05644556519660866,0.012105505592132406
Max_Back_Pressure,Mold_Temperature_3,0.05576903873201692,0.01196041545313185
Max_Injection_Speed,Mold_Temperature_4,0.05548273234141769,0.011899013222497964
Barrel_Temperature_3,Barrel_Temperature_4,0.0540795056151306,0.011598072503365638
Plasticizing_Time,Barrel_Temperature_3,0.05400457968153336,0.011582003635864748
Plasticizing_Position,Mold_Temperature_4,0.051285819962162256,0.010998929290309455
Hopper_Temperature,Mold_Temperature_3,0.049468205565717106,0.010609117598923839
Clamp_Close_Time,Hopper_Temperature,0.04558287167230189,0.009775855835839122
Plasticizing_Position,Barrel_Temperature_2,0.04528257280430433,0.009711452731481971
Barrel_Temperature_1,Barrel_Temperature_4,0.045264026910039445,0.009707475316676173
Barrel_Temperature_1,Barrel_Temperature_3,0.042295634943783016,0.009070864000587923
Clamp_Close_Time,Average_Back_Pressure,0.03948591428630401,0.008468281866580244
Clamp_Close_Time,Mold_Temperature_4,0.03733702994629315,0.008007424909895715
Cycle_Time,Barrel_Temperature_4,0.03709747926717976,0.007956050066265298
Average_Back_Pressure,Hopper_Temperature,0.03639941205407971,0.007806340225953971
Barrel_Temperature_2,Barrel_Temperature_6,0.0360086207198382,0.007722529803194634
Hopper_Temperature,Mold_Temperature_4,0.03403572683691234,0.007299416351336104
Max_Injection_Pressure,Barrel_Temperature_3,0.032723737642040056,0.007018042739786228
Barrel_Temperature_3,Mold_Temperature_4,0.028364665916462417,0.00608318156926407
Barrel_Temperature_4,Barrel_Temperature_6,0.028125418912915943,0.0060318718529162076
