idx,Machine_Name,Item No,working time,Thickness 1(mm),Thickness 2(mm),weld force(bar),weld current(kA),weld Voltage(v),weld time(ms),Thickness 1(mm)_scaled,Thickness 2(mm)_scaled,weld force(bar)_scaled,weld current(kA)_scaled,weld Voltage(v)_scaled,weld time(ms)_scaled
678,Spot-01,65235-25800,2020-03-25,0.7,0.7,10.540000000000001,14.750000000000002,2.476,72.0,-2.220446049250313e-16,-2.220446049250313e-16,175.0182873763916,0.6046769480194134,-26.018463840060253,0.4329079702736452
679,Spot-01,65235-25800,2020-03-25,0.7,0.7,10.540000000000001,14.76,2.476,72.0,-2.220446049250313e-16,-2.220446049250313e-16,175.0182873763916,0.7177003818689078,-26.018463840060253,0.4329079702736452
680,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.27,14.76,2.474,72.0,-2.220446049250313e-16,-2.220446049250313e-16,147.92138022463303,0.7177003818689078,-26.248804276577218,0.4329079702736452
681,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.27,14.78,2.474,72.0,-2.220446049250313e-16,-2.220446049250313e-16,147.92138022463303,0.9437472495679369,-26.248804276577218,0.4329079702736452
682,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.07,14.78,2.468,72.0,-2.220446049250313e-16,-2.220446049250313e-16,143.65415075191515,0.9437472495679369,-26.93982558612822,0.4329079702736452
683,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.07,14.750000000000002,2.468,72.0,-2.220446049250313e-16,-2.220446049250313e-16,143.65415075191515,0.6046769480194134,-26.93982558612822,0.4329079702736452
684,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.01,14.750000000000002,2.464,71.0,-2.220446049250313e-16,-2.220446049250313e-16,142.3739819100998,0.6046769480194134,-27.4005064591622,-1.1470878162667193
685,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.01,14.83,2.464,71.0,-2.220446049250313e-16,-2.220446049250313e-16,142.3739819100998,1.5088644188155296,-27.4005064591622,-1.1470878162667193
686,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.05,14.83,2.467,71.0,-2.220446049250313e-16,-2.220446049250313e-16,143.22742780464338,1.5088644188155296,-27.054995804386703,-1.1470878162667193
687,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.05,14.799999999999999,2.467,71.0,-2.220446049250313e-16,-2.220446049250313e-16,143.22742780464338,1.169794117266966,-27.054995804386703,-1.1470878162667193
688,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.040000000000001,14.799999999999999,2.496,71.0,-2.220446049250313e-16,-2.220446049250313e-16,143.01406633100748,1.169794117266966,-23.71505947489034,-1.1470878162667193
689,Spot-01,65235-25800,2020-03-25,0.7,0.7,9.040000000000001,14.799999999999999,2.496,72.0,-2.220446049250313e-16,-2.220446049250313e-16,143.01406633100748,1.169794117266966,-23.71505947489034,0.4329079702736452
690,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.98,14.799999999999999,2.54,73.0,-2.220446049250313e-16,-2.220446049250313e-16,141.73389748919212,1.169794117266966,-18.647569871516527,2.01290375681401
691,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.98,14.799999999999999,2.54,71.0,-2.220446049250313e-16,-2.220446049250313e-16,141.73389748919212,1.169794117266966,-18.647569871516527,-1.1470878162667193
692,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.95,14.799999999999999,2.605,72.0,-2.220446049250313e-16,-2.220446049250313e-16,141.09381306828442,1.169794117266966,-11.161505684714317,0.4329079702736452
693,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.95,14.81,2.605,71.0,-2.220446049250313e-16,-2.220446049250313e-16,141.09381306828442,1.2828175511165005,-11.161505684714317,-1.1470878162667193
694,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.790000000000001,14.81,2.673,72.0,-2.220446049250313e-16,-2.220446049250313e-16,137.68002949011014,1.2828175511165005,-3.329930843136609,0.4329079702736452
695,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.790000000000001,14.799999999999999,2.673,73.0,-2.220446049250313e-16,-2.220446049250313e-16,137.68002949011014,1.169794117266966,-3.329930843136609,2.01290375681401
696,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.58,14.799999999999999,2.72,71.0,-2.220446049250313e-16,-2.220446049250313e-16,133.19943854375634,1.169794117266966,2.0830694150127025,-1.1470878162667193
697,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.58,14.78,2.72,72.0,-2.220446049250313e-16,-2.220446049250313e-16,133.19943854375634,0.9437472495679369,2.0830694150127025,0.4329079702736452
698,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.25,14.78,2.745,72.0,-2.220446049250313e-16,-2.220446049250313e-16,126.15850991377182,0.9437472495679369,4.962324871475083,0.4329079702736452
699,Spot-01,65235-25800,2020-03-25,0.7,0.7,8.25,14.81,2.745,72.0,-2.220446049250313e-16,-2.220446049250313e-16,126.15850991377182,1.2828175511165005,4.962324871475083,0.4329079702736452
700,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.92,14.81,2.7510000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,119.1175812837873,1.2828175511165005,5.653346181026083,0.4329079702736452
701,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.92,14.840000000000002,2.7510000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,119.1175812837873,1.6218878526650642,5.653346181026083,0.4329079702736452
702,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.609999999999999,14.840000000000002,2.7560000000000002,72.0,-2.220446049250313e-16,-2.220446049250313e-16,112.50337560107458,1.6218878526650642,6.229197272318548,0.4329079702736452
703,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.609999999999999,14.83,2.7560000000000002,72.0,-2.220446049250313e-16,-2.220446049250313e-16,112.50337560107458,1.5088644188155296,6.229197272318548,0.4329079702736452
704,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.33,14.83,2.748,71.0,-2.220446049250313e-16,-2.220446049250313e-16,106.52925433926956,1.5088644188155296,5.3078355262505825,-1.1470878162667193
705,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.33,14.81,2.748,71.0,-2.220446049250313e-16,-2.220446049250313e-16,106.52925433926956,1.2828175511165005,5.3078355262505825,-1.1470878162667193
706,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.18,14.81,2.741,72.0,-2.220446049250313e-16,-2.220446049250313e-16,103.32883223473112,1.2828175511165005,4.5016439984411,0.4329079702736452
707,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.18,14.81,2.741,71.0,-2.220446049250313e-16,-2.220446049250313e-16,103.32883223473112,1.2828175511165005,4.5016439984411,-1.1470878162667193
708,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.05,14.81,2.735,73.0,-2.220446049250313e-16,-2.220446049250313e-16,100.5551330774645,1.2828175511165005,3.8106226888901,2.01290375681401
709,Spot-01,65235-25800,2020-03-25,0.7,0.7,7.05,14.85,2.735,72.0,-2.220446049250313e-16,-2.220446049250313e-16,100.5551330774645,1.7349112865145586,3.8106226888901,0.4329079702736452
