idx,Machine_Name,Item No,working time,Thickness 1(mm),Thickness 2(mm),weld force(bar),weld current(kA),weld Voltage(v),weld time(ms),Thickness 1(mm)_scaled,Thickness 2(mm)_scaled,weld force(bar)_scaled,weld current(kA)_scaled,weld Voltage(v)_scaled,weld time(ms)_scaled
1,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.1551356872430181,-1.427625025189022,-0.15176000013753405,0.4342060201921357
2,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.05701484777803306,-1.427625025189022,-0.15176000013753405,0.4342060201921357
3,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.540000000000001,2.7030000000000003,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.12773169278504803,-1.760411040681589,0.028224237765815462,-1.1460039507446627
4,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.540000000000001,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.12773169278504803,-1.760411040681589,0.028224237765815462,0.4342060201921357
5,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.7039999999999997,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.05701484777803306,-1.5385536970198908,0.11821635671743026,0.4342060201921357
6,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.56,2.7039999999999997,71.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.08441884223600314,-1.5385536970198908,0.11821635671743026,-1.1460039507446627
7,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.53,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.013701997228985041,-1.8713397125124578,-0.2417521190891888,0.4342060201921357
8,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.53,2.7,70.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.1551356872430181,-1.8713397125124578,-0.2417521190891888,-2.726213921681461
9,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,71.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.2258525322500362,-1.427625025189022,-0.15176000013753405,-1.1460039507446627
10,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.2258525322500362,-1.427625025189022,-0.15176000013753405,0.4342060201921357
11,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.590000000000002,2.698,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.1551356872430181,-1.2057676815273237,-0.4217363569925383,0.4342060201921357
12,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.698,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.05701484777803306,-1.2057676815273237,-0.4217363569925383,0.4342060201921357
13,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.699,73.0,-2.220446049250313e-16,-2.220446049250313e-16,0.12773169278504803,-1.2057676815273237,-0.33174423804088354,2.014415991128934
14,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.699,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.12773169278504803,-1.2057676815273237,-0.33174423804088354,-1.1460039507446627
15,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.7,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.05701484777803306,-1.2057676815273237,-0.2417521190891888,-1.1460039507446627
16,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.05701484777803306,-1.2057676815273237,-0.2417521190891888,0.4342060201921357
17,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.58,2.705,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.08441884223600314,-1.3166963533581926,0.208208475669125,0.4342060201921357
18,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.58,2.705,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.013701997228985041,-1.3166963533581926,0.208208475669125,0.4342060201921357
19,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.36,14.549999999999999,2.7039999999999997,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.05701484777802992,-1.6494823688507596,0.11821635671743026,0.4342060201921357
20,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.36,14.549999999999999,2.7039999999999997,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.05701484777802992,-1.6494823688507596,0.11821635671743026,0.4342060201921357
21,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.549999999999999,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.08441884223600314,-1.6494823688507596,0.028224237765815462,0.4342060201921357
22,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.549999999999999,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.08441884223600314,-1.6494823688507596,0.028224237765815462,0.4342060201921357
23,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.05701484777803306,-1.427625025189022,-0.15176000013753405,-1.1460039507446627
