idx,Machine_Name,Item No,working time,Thickness 1(mm),Thickness 2(mm),weld force(bar),weld current(kA),weld Voltage(v),weld time(ms),Thickness 1(mm)_scaled,Thickness 2(mm)_scaled,weld force(bar)_scaled,weld current(kA)_scaled,weld Voltage(v)_scaled,weld time(ms)_scaled
1,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.570000000000002,2.701,72.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.3145295937153411,-1.426396063260003,-0.13051212937866,0.43649902211044
2,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,72.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.29392385718601705,-1.426396063260003,-0.13051212937866,0.43649902211044
3,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.540000000000001,2.7030000000000003,71.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.2870552783429092,-1.7294379630262173,-0.04953594059591217,-1.1457221349398665
4,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.540000000000001,2.7030000000000003,72.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.2870552783429092,-1.7294379630262173,-0.04953594059591217,0.43649902211044
5,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.7039999999999997,72.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.29392385718601705,-1.5274100298487532,-0.009047846204565219,0.43649902211044
6,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.56,2.7039999999999997,71.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.3076610148722333,-1.5274100298487532,-0.009047846204565219,-1.1457221349398665
7,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.53,2.7,72.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.30079243602912514,-1.8304519296149675,-0.17100022377002494,0.43649902211044
8,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.53,2.7,70.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.3145295937153411,-1.8304519296149675,-0.17100022377002494,-2.727943291990173
9,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,71.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.3213981725584492,-1.426396063260003,-0.13051212937866,-1.1457221349398665
10,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,72.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.3213981725584492,-1.426396063260003,-0.13051212937866,0.43649902211044
11,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.590000000000002,2.698,72.0,-1.1102230246251565e-16,-1.1102230246251565e-16,-0.3145295937153411,-1.2243681300825389,-0.25197641255277275,0.43649902211044
