idx,Machine_Name,Item No,working time,Thickness 1(mm),Thickness 2(mm),weld force(bar),weld current(kA),weld Voltage(v),weld time(ms),Thickness 1(mm)_scaled,Thickness 2(mm)_scaled,weld force(bar)_scaled,weld current(kA)_scaled,weld Voltage(v)_scaled,weld time(ms)_scaled,is_anomaly
1,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.570000000000002,2.701,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.426396063260003,-0.13051212937866,0.43649902211044,0
2,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.426396063260003,-0.13051212937866,0.43649902211044,0
3,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.54,2.7030000000000003,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.729437963026217,-0.0495359405959121,-1.1457221349398663,0
4,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.54,2.7030000000000003,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.729437963026217,-0.0495359405959121,0.43649902211044,0
5,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.704,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.5274100298487532,-0.0090478462045652,0.43649902211044,0
6,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.56,2.704,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3076610148722333,-1.5274100298487532,-0.0090478462045652,-1.1457221349398663,0
7,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.53,2.7,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3007924360291251,-1.8304519296149675,-0.1710002237700249,0.43649902211044,0
8,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.53,2.7,70.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.8304519296149675,-0.1710002237700249,-2.727943291990173,0
9,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3213981725584492,-1.426396063260003,-0.13051212937866,-1.1457221349398663,0
10,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3213981725584492,-1.426396063260003,-0.13051212937866,0.43649902211044,0
11,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.590000000000002,2.698,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.3145295937153411,-1.2243681300825389,-0.2519764125527727,0.43649902211044,0
12,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.698,72.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.293923857186017,-1.2243681300825389,-0.2519764125527727,0.43649902211044,0
13,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.699,73.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.2243681300825389,-0.2114883181614078,2.0187201791607468,0
14,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.699,71.0,-1.1102230246251563e-16,-1.1102230246251563e-16,-0.2870552783429092,-1.2243681300825389,-0.2114883181614078,-1.1457221349398663,0
