idx,Machine_Name,Item No,working time,Thickness 1(mm),Thickness 2(mm),weld force(bar),weld current(kA),weld Voltage(v),weld time(ms),Thickness 1(mm)_scaled,Thickness 2(mm)_scaled,weld force(bar)_scaled,weld current(kA)_scaled,weld Voltage(v)_scaled,weld time(ms)_scaled
1,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.15148247867759201,-1.4297448612718882,-0.10516473189872878,0.4329079702736452
2,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.4297448612718882,-0.10516473189872878,0.4329079702736452
3,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.540000000000001,2.7030000000000003,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.7019634158659859,-1.7688151628204518,0.12517570461828822,-1.1470878162667193
4,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.540000000000001,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.7019634158659859,-1.7688151628204518,0.12517570461828822,0.4329079702736452
5,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.56,2.7039999999999997,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.5427682951214228,0.24034592287672002,0.4329079702736452
6,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.56,2.7039999999999997,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.06187899495829772,-1.5427682951214228,0.24034592287672002,-1.1470878162667193
7,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.53,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.27524046859419693,-1.8818385966699864,-0.22033495015721172,0.4329079702736452
8,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.53,2.7,70.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.15148247867759201,-1.8818385966699864,-0.22033495015721172,-2.7270836028070837
9,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,71.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.3648439523134912,-1.4297448612718882,-0.10516473189872878,-1.1470878162667193
10,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.32,14.570000000000002,2.701,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.3648439523134912,-1.4297448612718882,-0.10516473189872878,0.4329079702736452
11,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.33,14.590000000000002,2.698,72.0,-2.220446049250313e-16,-2.220446049250313e-16,-0.15148247867759201,-1.2036979935728591,-0.45067538667422874,0.4329079702736452
12,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.698,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.2036979935728591,-0.45067538667422874,0.4329079702736452
13,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.699,73.0,-2.220446049250313e-16,-2.220446049250313e-16,0.7019634158659859,-1.2036979935728591,-0.3355051684157458,2.01290375681401
14,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.37,14.590000000000002,2.699,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.7019634158659859,-1.2036979935728591,-0.3355051684157458,-1.1470878162667193
15,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.7,71.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.2036979935728591,-0.22033495015721172,-1.1470878162667193
16,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.3600000000000003,14.590000000000002,2.7,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300961,-1.2036979935728591,-0.22033495015721172,0.4329079702736452
17,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.58,2.705,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.06187899495829772,-1.3167214274223937,0.3555161411352541,0.4329079702736452
18,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.35,14.58,2.705,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.27524046859419693,-1.3167214274223937,0.3555161411352541,0.4329079702736452
19,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.36,14.549999999999999,2.7039999999999997,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300867,-1.6557917289709574,0.24034592287672002,0.4329079702736452
20,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.36,14.549999999999999,2.7039999999999997,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.4886019422300867,-1.6557917289709574,0.24034592287672002,0.4329079702736452
21,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.549999999999999,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.06187899495829772,-1.6557917289709574,0.12517570461828822,0.4329079702736452
22,Spot-01,65235-25800,2020-03-24,0.7,0.7,2.34,14.549999999999999,2.7030000000000003,72.0,-2.220446049250313e-16,-2.220446049250313e-16,0.06187899495829772,-1.6557917289709574,0.12517570461828822,0.4329079702736452
